contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),VVD,Partij van de Arbeid (P.v.d.A.),ChristenUnie,CDA,Vitale Kernen Goeree Overflakkee,Eiland van Vrijheid,Goeree Overflakkee Samen (GOS),JEZUS LEEFT,10
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Oostdam,1924::SB1,,1778,1270,8,0,0,0,0,1121,157,0,0,0,0,0,1278,272,238,133,127,293,95,69,4,7,32
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Dorpstienden,1924::SB2,,1471,1395,2,3,0,0,0,1195,207,0,0,2,0,0,1402,509,241,109,100,251,72,87,4,4,18
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Eben Haëzer,1924::SB3,,1828,1169,0,4,0,1,0,1021,153,0,0,1,0,0,1174,555,104,67,112,202,48,52,3,1,25
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau De Vliedberg,1924::SB4,,1360,873,0,0,0,0,0,767,105,0,1,0,0,0,872,353,76,75,83,157,58,47,2,9,13
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau De Rank,1924::SB5,,1487,830,3,3,0,0,0,734,102,0,0,0,0,0,836,181,89,107,78,153,89,88,7,7,31
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau 't Haegse Huus,1924::SB6,,1306,865,3,2,0,0,0,788,82,0,0,0,0,0,870,179,64,155,75,183,84,70,1,4,50
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau De Schakel,1924::SB7,,2081,1433,3,4,0,0,0,1256,184,0,0,0,0,0,1440,409,152,101,183,204,201,70,10,10,93
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Geldershof,1924::SB9,,2224,1478,7,6,0,0,0,1269,222,0,0,0,0,0,1491,399,148,110,189,231,234,62,13,9,83
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Ons Huis,1924::SB10,,993,682,1,0,0,0,0,620,63,0,0,0,0,0,683,169,62,60,51,94,98,83,22,4,39
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Melishof,1924::SB11,,1694,1029,6,7,0,0,0,938,104,0,0,0,0,0,1042,196,110,105,59,189,229,65,16,6,54
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau De Sjem,1924::SB12,,0,194,0,0,0,0,0,168,26,0,0,0,0,0,194,16,38,17,24,28,42,20,1,0,8
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Wijkcentrum,1924::SB13,,1735,1344,5,5,0,0,0,1205,149,0,0,0,0,0,1354,268,110,147,118,147,388,77,11,5,73
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Jongeren Activiteiten Centrum (JAC),1924::SB14,,1909,1099,1,3,0,0,0,984,119,0,0,0,0,0,1103,122,124,90,65,135,339,114,12,3,95
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau De Hoeksteen,1924::SB15,,2149,1439,1,1,0,0,0,1215,226,0,0,0,0,0,1441,280,218,132,151,172,302,115,4,6,59
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Vita Nova,1924::SB16,,1934,1526,5,0,0,0,0,1298,235,0,0,2,0,0,1533,233,197,165,156,189,415,81,11,2,77
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Nieuw Rijsenburgh,1924::SB17,,1860,1134,2,9,0,1,0,1006,141,1,0,2,0,0,1147,238,95,127,127,107,301,70,13,7,49
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Exoduskerk,1924::SB18,,1948,1313,0,3,0,1,0,1189,128,0,0,1,0,0,1317,239,123,97,164,168,384,69,8,2,59
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Ons Dorpshuis,1924::SB19,,1884,1268,4,2,0,0,0,1103,171,0,0,0,0,0,1274,336,110,99,120,83,269,156,23,5,67
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Trefpunt,1924::SB20,,1046,642,1,1,0,0,0,575,69,0,0,0,0,0,644,69,61,46,76,108,178,44,7,5,48
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau 't Centrum,1924::SB21,,2158,1324,4,4,0,0,0,1169,163,0,0,0,0,0,1332,287,138,170,160,89,214,67,70,8,121
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Bommelstee,1924::SB22,,1230,740,1,2,0,0,0,681,62,0,0,0,0,0,743,53,69,66,82,75,276,45,6,2,66
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau 't Buurthuus,1924::SB23,,1071,675,2,3,0,0,0,587,93,0,0,0,0,0,680,38,49,57,21,77,212,29,10,2,180
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau De Grutterswei,1924::SB24,,1958,1497,4,3,0,4,0,1364,144,0,0,4,0,0,1508,93,170,253,91,121,499,81,54,6,129
,Goeree-Overflakkee,GR2018_GoereeOverflakkee,Gemeenteraad Goeree-Overflakkee 2018,1924,Goeree-Overflakkee,2018-03-21,Stembureau Ebbe en Vloed,1924::SB25,,1987,1222,1,5,0,0,0,1060,168,0,0,0,0,0,1228,87,105,205,78,109,436,60,41,2,99
