contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,CDA,Arnhem Centraal,ChristenUnie,DENK Verenigd Arnhem,Arnhemse Ouderen Partij,Partij voor de Dieren,12,PVV (Partij voor de Vrijheid),Nederlandse Volks-Unie (NVU),Arnhem1,Gelderse Centrumdemocraten (Gelderse C.D.)
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Stadhuis Arnhem,0202::SB1,6811 DG,2064,1316,13,7,0,3,0,1249,90,0,0,3,0,0,1339,175,81,105,168,309,94,93,44,25,16,138,1,53,8,5,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Rozet,0202::SB2,6811 EP,1554,1016,5,4,0,2,0,958,69,0,0,2,0,0,1027,155,100,78,117,257,35,52,39,9,21,96,1,39,8,7,2
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Introdans (hoofdgebouw),0202::SB3,6811 LN,1541,504,4,2,0,0,0,489,21,0,0,0,0,0,510,84,47,38,68,112,18,22,17,5,11,53,0,22,2,5,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Buurthuis 't Huukske,0202::SB4,6812 BS,1245,775,5,5,0,0,0,733,52,0,0,0,0,0,785,105,62,64,99,198,34,39,25,1,26,83,0,24,6,9,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Woonzorgcentrum Klingelpoort,0202::SB5,6812 DV,1107,652,3,2,0,0,0,584,73,0,0,0,0,0,657,131,16,71,110,152,40,23,35,0,13,42,0,14,1,3,1
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Kerkelijk Kultureel Centrum (SIZA),0202::SB6,6813 CD,2568,1073,4,2,0,11,0,1006,84,0,0,11,0,0,1090,148,104,103,120,282,54,44,56,5,31,93,1,23,0,6,3
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Molenplaats Sonsbeek,0202::SB8,6814 CL,1681,966,1,1,0,0,0,901,67,0,0,0,0,0,968,168,40,106,206,218,48,25,47,3,11,71,0,17,1,5,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Wijkcentrum De Bakermat,0202::SB9,6814 JA,1713,1234,1,3,0,3,0,1106,129,0,3,0,0,0,1235,271,32,118,264,223,97,31,52,2,48,57,0,25,8,6,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Pieter Brueghelschool,0202::SB11,6813 KZ,1172,1064,0,0,0,1,0,955,108,0,1,0,0,0,1063,253,36,93,301,171,73,13,50,3,20,30,1,15,3,2,0
,Arnhem,GR2018_Arnhem,Gemeenteraad Arnhem 2018,0202,Arnhem,2018-03-21,Stembureau Basisschool 't Panorama,0202::SB12,6813 GS,1271,1079,2,0,0,0,0,974,107,0,0,0,0,0,1081,227,27,85,298,188,66,23,55,0,22,55,1,31,0,1,0
