contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,ChristenUnie,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),JEZUS LEEFT
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Gemeentehuis Lopik,0331::SB1,3411 CH,1561,758,3,1,0,0,0,689,73,0,0,0,0,0,762,160,230,134,144,74,16
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Voormalige Peuterspeelzaal Villa Kakelbond,0331::SB2,3411 ZG,980,408,10,4,0,0,0,383,39,0,0,0,0,0,422,80,149,55,78,32,14
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Dorpshuis De Schouw,0331::SB3,3411 DJ,1983,1156,9,2,0,0,0,1043,124,0,0,0,0,0,1167,287,430,176,175,73,15
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Buurthuis Uitweg,0331::SB4,3412 KR,1115,636,5,1,0,0,0,537,105,0,0,0,0,0,642,129,173,132,80,111,11
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Ver. gebouw Jaarsveld,0331::SB5,3413 MP,753,392,6,2,0,0,0,346,54,0,0,0,0,0,400,87,99,66,86,48,6
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau In 't Witte Paard,0331::SB6,3411 EC,781,495,0,0,0,0,0,434,61,0,0,0,0,0,495,260,142,22,49,13,9
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Buurthuis 't Wilgegat,0331::SB7,3411 NC,246,180,0,0,0,0,0,165,15,0,0,0,0,0,180,77,44,22,22,15,0
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Dorpshuis Benschop,0331::SB8,3405 XJ,2257,1472,12,4,0,0,0,1320,168,0,0,0,0,0,1488,348,524,211,168,209,12
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Buurthuis de Triangel,0331::SB9,3405 CE,620,399,3,1,0,0,0,348,55,0,0,0,0,0,403,121,87,77,27,83,4
,Lopik,GR2018_Lopik,Gemeenteraad Lopik 2018,0331,Lopik,2018-03-21,Stembureau Dorpshuis  Polsbroek,0331::SB10,3415 PE,860,573,4,0,0,0,0,523,54,0,0,0,0,0,577,139,91,143,31,165,4
