contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA,ChristenUnie,VVD,Partij van de Arbeid (P.v.d.A.),Lokaal Apeldoorn,GROENLINKS,Gemeentebelangen,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,Progressief Sociaal Apeldoorn (PSA),Vrede en Recht,SP (Socialistische Partij),JEZUS LEEFT,50PLUS
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Stadhuis,0200::SB1,,1488,1501,9,7,0,0,0,1378,138,0,1,0,1,0,1516,215,153,130,214,106,160,173,52,19,102,27,6,72,7,65
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Kadaster,0200::SB2,,1252,758,4,3,0,0,0,711,54,0,0,0,0,0,765,75,67,50,98,68,93,70,42,11,55,12,5,34,4,74
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau De Oude Enk,0200::SB3,,1434,754,6,3,0,0,0,701,63,1,0,1,0,0,764,85,98,41,76,66,74,73,41,16,40,8,2,60,2,72
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Duivensportcentrum Apeldoorn e/o,0200::SB4,,1740,974,1,1,0,0,0,893,83,0,0,0,0,0,976,121,99,66,108,53,152,104,38,22,54,24,1,42,1,89
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Stationsrestauratie 1,0200::SB5,,1247,1009,5,4,0,0,0,950,68,0,0,0,0,0,1018,149,104,62,156,64,99,125,44,10,57,16,2,39,4,78
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Goede Herderkerk,0200::SB6,,1283,1339,5,4,0,9,0,1233,124,0,0,9,0,0,1357,155,142,109,205,97,158,136,63,29,83,14,3,56,8,81
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Speeltuin Kindervreugd,0200::SB7,,969,344,1,0,0,0,0,320,25,0,0,0,0,0,345,24,27,15,23,28,58,37,17,13,17,3,3,43,2,34
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School Spitsbergen,0200::SB8,,1299,290,0,1,0,0,0,272,19,0,0,0,0,0,291,28,25,20,24,25,38,29,19,14,17,5,0,19,0,27
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,"Stembureau Zorggroep Apeldoorn, loc. Mandala",0200::SB9,,1030,724,1,0,0,0,0,655,70,0,0,0,0,0,725,78,112,71,93,53,61,83,19,11,42,9,0,29,5,58
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Wijkcentrum Orca,0200::SB10,,1271,850,5,3,0,0,0,860,0,0,0,0,0,0,860,84,74,48,77,89,118,81,45,21,59,14,6,55,3,76
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau PCBO-school De Wegwijzer,0200::SB11,,1351,622,3,0,0,0,0,564,61,0,0,0,0,0,625,80,71,57,98,42,75,72,29,8,31,3,0,23,2,31
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau School Berg en Bos,0200::SB12,,1335,1207,2,0,0,0,0,1050,159,0,0,0,0,0,1209,177,153,91,413,29,123,57,19,31,40,4,0,8,1,61
,Apeldoorn,GR2018_Apeldoorn,Gemeenteraad Apeldoorn 2018,0200,Apeldoorn,2018-03-21,Stembureau Adventkerk Apeldoorn,0200::SB13,,1465,1034,1,1,0,0,0,946,90,0,0,0,0,0,1036,153,154,62,182,60,98,96,38,31,55,7,2,34,3,59
