contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kiesvereniging Gemeentebelangen Noordenveld,Lijst Groen Noordenveld (LGN),Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),GROENLINKS,ChristenUnie
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,Stembureau Verzorgingscentrum de Hullen,1699::SB1,9301 HW,1403,832,5,4,0,1,0,782,58,0,1,0,0,0,840,267,166,85,66,91,41,80,36
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,Stembureau Gemeentehuis,1699::SB2,9301 AA,1866,1376,6,6,0,0,0,1251,137,0,0,0,0,0,1388,522,156,154,149,121,71,116,87
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,Stembureau Fletcher Hotel Langewold,1699::SB3,9301 NR,1417,946,4,2,4,0,0,899,49,0,4,0,0,0,948,329,105,126,65,116,33,76,96
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,"Stembureau Mennozaal, Doopsgezinde Gemeente",1699::SB4,9301 AX,1601,820,1,3,0,0,0,770,55,0,0,1,0,1,825,341,86,127,54,82,26,44,60
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,Stembureau Gereformeerde kerk,1699::SB5,9301 SJ,1240,585,3,1,0,0,0,551,38,0,0,0,0,0,589,206,77,72,29,41,42,53,65
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,"Stembureau Odbs ""het Valkhof""",1699::SB6,9301 SP,1213,922,2,1,0,1,0,859,67,0,0,1,0,0,926,275,205,108,74,53,59,86,62
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,Stembureau dienstencentrum Geerties Hoes,1699::SB7,9302 DC,1358,816,5,2,0,0,0,771,52,0,0,0,0,0,823,231,123,100,91,66,49,76,80
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,Stembureau 't Dörpshuus NijRoon,1699::SB8,9311 PB,1457,970,2,3,0,0,0,881,94,0,0,0,0,0,975,295,178,140,72,81,52,73,79
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,Stembureau Obs De Poolster,1699::SB9,9311 VA,1588,744,2,2,0,0,0,676,72,0,0,0,0,0,748,245,133,86,47,61,30,84,58
,Noordenveld,GR2018_Noordenveld,Gemeenteraad Noordenveld 2018,1699,Noordenveld,2018-03-21,Stembureau cafe het Rode Hert,1699::SB10,9315 PB,641,420,1,1,0,0,0,382,40,0,0,0,0,0,422,173,31,45,30,27,37,60,17
