contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Belangen Buitengebied Coevorden,VVD,CDA,Partij van de Arbeid (P.v.d.A.),PAC,Democraten 66 (D66),Gemeentebelangen
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Hof van Coevorden Coevorden,0109::SB1,7741 GC,1115,791,4,7,0,0,0,741,61,0,0,0,0,0,802,100,143,139,145,146,35,83
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Het Nieuwe Bastion Coevorden,0109::SB2,7741 HX,1180,556,3,4,0,0,0,526,37,0,0,0,0,0,563,75,108,111,101,73,12,76
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau De Voorde Coevorden,0109::SB3,7742 VC,1264,814,1,2,0,0,0,756,60,0,1,0,0,0,816,89,135,147,172,155,20,96
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Zaal De Loo Coevorden,0109::SB4,7741 EJ,1850,957,1,4,0,0,0,885,77,0,0,0,0,0,962,153,124,147,175,169,46,143
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau BSV Tuindorp Coevorden,0109::SB5,7741 TT,1461,280,1,0,0,0,0,252,29,0,0,0,0,0,281,33,29,38,68,48,18,46
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Sint-Franciscus Coevorden,0109::SB6,7742 BR,1605,796,1,2,0,0,1,730,68,0,0,0,0,0,799,126,135,177,115,138,32,73
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Drostenhal Coevorden,0109::SB7,7742 WJ,2167,965,3,1,0,0,0,888,81,0,0,0,0,0,969,121,189,109,173,187,43,143
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau De Schutse Coevorden,0109::SB8,7741 AD,967,375,1,2,0,0,0,365,13,0,0,0,0,0,378,58,31,61,116,45,10,54
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Dorpshuis De Schalm Steenwijksmoer,0109::SB9,7741 PL,754,471,4,1,0,0,0,438,38,0,0,0,0,0,476,284,36,85,22,16,5,23
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Dorpshuis De Breiberg Dalerpeel,0109::SB10,7753 TK,699,337,0,0,0,0,0,307,30,0,0,0,0,0,337,138,23,66,70,13,7,20
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau MFC De Spinde Dalen,0109::SB11,7751 GV,1563,1031,1,3,0,0,0,939,97,0,0,1,0,0,1036,433,257,97,142,34,34,34
,Coevorden,GR2018_Coevorden,Gemeenteraad Coevorden 2018,0109,Coevorden,2018-03-21,Stembureau Dorpshuis Boerhoorn Dalerveen,0109::SB12,7755 NR,573,345,0,3,0,0,0,311,38,0,0,1,0,0,349,162,64,32,24,16,6,41
