contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,ChristenUnie,SP (Socialistische Partij),Eérste Lokale Partij (ELP),VVD,Democraten 66 (D66),Smallingerlands Belang,FNP,GROENLINKS,Staatkundig Gereformeerde Partij (SGP)
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Het gemeentehuis (Trouwzaal),0090::SB1,9203 RM,1198,1229,0,0,0,0,0,1110,119,0,0,0,0,0,1229,157,157,117,60,288,135,95,90,29,90,11
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Wijkcentrum De Utwyk,0090::SB2,9201 XE,1877,1100,4,7,0,0,0,1039,72,0,0,0,0,0,1111,131,115,166,107,194,58,61,126,28,75,39
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau SBO school It Heechhôf,0090::SB3,9201 XZ,1690,780,1,5,0,0,0,738,48,0,0,0,0,0,786,91,64,120,96,142,28,48,97,25,51,18
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau PCBO Het Anker,0090::SB4,9207 CZ,1008,785,0,0,0,0,0,725,60,0,0,0,0,0,785,61,89,142,42,147,39,73,84,15,73,20
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Kantine vv ONB,0090::SB5,9201 KK,1212,1014,3,0,0,0,0,917,100,0,0,0,0,0,1017,95,149,141,42,201,121,72,78,27,61,27
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Wijkcentrum De Kouwe,0090::SB6,9201 TE,2069,805,3,3,0,0,0,736,75,0,0,0,0,0,811,91,65,98,111,132,35,28,142,35,55,13
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Chr.Ger. Kerk,0090::SB7,9203 AN,1804,883,3,0,0,0,0,817,69,0,0,0,0,0,886,98,96,126,92,154,52,47,90,26,80,22
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Basisschool Eben Haëzer,0090::SB8,9202 AN,1311,620,2,8,0,0,0,586,44,0,0,0,0,0,630,91,59,93,59,114,16,23,70,20,37,38
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Wijk- en Zorgcentrum De Wiken,0090::SB9,9202 CA,1786,897,6,6,0,0,0,848,61,0,0,0,0,0,909,105,81,134,125,150,28,54,118,25,55,22
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau Sportcentrum Drachten,0090::SB10,9202 LC,1775,956,3,6,0,0,0,884,81,0,0,0,0,0,965,93,109,207,52,183,43,65,113,20,55,16
,Smallingerland,GR2018_Smallingerland,Gemeenteraad Smallingerland 2018,0090,Smallingerland,2018-03-21,Stembureau MF wijkcentrum De Barte,0090::SB11,9202 LM,1762,943,0,3,0,0,0,879,67,0,0,0,0,0,946,101,118,121,92,202,60,42,115,35,42,15
