contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ZVV (Zaltbommel veranderen met Visie),Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid/GROENLINKS,ChristenUnie,CDA,VVD,Democraten 66 (D66),SP (Socialistische Partij)
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Stadhuis,0297::SB1,5301 AL,1501,1038,2,1,2,2,0,942,97,0,2,0,0,0,1039,231,18,249,21,107,227,103,82
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Brede school de Waluwe cult café,0297::SB2,5301 RT,1369,862,2,2,0,0,0,775,91,0,0,0,0,0,866,233,21,190,38,115,118,75,72
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Brandweerkazerne,0297::SB3,5301 HK,1392,697,1,3,0,0,0,614,86,0,1,0,1,0,700,169,20,161,56,114,69,25,83
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau De Grote Aak,0297::SB4,5301 GX,1224,728,2,1,0,0,0,663,70,2,0,2,0,0,733,164,9,159,37,131,86,72,70
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Brede school  'de Zandkampen',0297::SB5,5301 WE,1099,753,3,2,0,0,0,708,50,0,0,0,0,0,758,201,13,201,56,106,75,43,58
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Wijkcentrum de Schans,0297::SB6,5301 JK,1006,782,2,1,0,1,0,721,65,0,0,1,0,0,786,238,19,131,40,115,140,48,51
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Dorpshuis Kerkwijk,0297::SB7,5315 AL,777,494,0,0,0,0,0,427,67,0,0,0,0,0,494,40,111,53,74,118,61,21,16
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Eben Haëzer Bruchem,0297::SB8,5314 AX,1256,855,1,2,0,0,0,773,85,0,0,0,0,0,858,92,137,118,220,163,88,17,20
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Zorgcentrum  't Slot,0297::SB9,5311 CM,1255,922,4,1,0,1,0,809,119,0,0,1,0,0,928,98,287,58,148,127,138,33,33
,Zaltbommel,GR2018_Zaltbommel,Gemeenteraad Zaltbommel 2018,0297,Zaltbommel,2018-03-21,Stembureau Ons Trefpunt,0297::SB10,5313 AP,563,368,1,0,0,0,0,320,49,0,0,0,0,0,369,49,143,42,36,43,37,8,10
