contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,SP (Socialistische Partij),CDA,GROENLINKS,SWOLLWACHT
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau Stadhuis,0193::SB1,,1719,1375,4,4,0,4,0,1290,99,2,0,6,0,0,1389,142,116,202,344,34,115,290,132
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau Kantine tennisvereniging ZLTB,0193::SB2,,1826,1149,6,3,0,0,0,1059,99,0,0,0,0,0,1158,194,70,148,279,25,136,178,119
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau Woonzorgcentrum De Nieuwe Haven,0193::SB3,,1752,613,8,2,0,0,0,589,34,0,0,0,0,0,623,86,69,72,82,42,57,127,78
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau Stadkamer Centrum,0193::SB4,,1612,1059,9,3,0,0,0,995,76,0,0,0,0,0,1071,176,84,169,158,39,80,287,66
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau Wijkcentrum De Enk,0193::SB5,,1622,1346,4,7,0,0,0,1274,83,0,0,0,0,0,1357,170,162,172,148,104,78,407,105
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau Het Mozaïek locatie De Mozadance,0193::SB6,,1385,735,2,11,0,0,0,702,46,0,0,0,0,0,748,93,85,117,64,56,51,193,76
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau Woonzorgcentrum De Molenhof,0193::SB7,,1240,780,5,1,0,0,0,735,51,0,0,0,0,0,786,136,103,84,79,45,51,185,97
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau School Het Veldboeket,0193::SB8,,1741,889,3,2,0,0,0,837,57,0,0,0,0,0,894,118,135,71,62,95,75,164,169
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau School De Vlieger,0193::SB9,,1168,620,3,3,0,0,0,551,75,0,0,0,0,0,626,105,33,66,171,7,85,59,94
,Zwolle,GR2018_Zwolle,Gemeenteraad Zwolle 2018,0193,Zwolle,2018-03-21,Stembureau School Aquamarijn,0193::SB10,,1625,892,4,3,0,0,0,858,42,1,0,1,0,0,900,163,72,142,124,42,74,160,115
