contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,Partij van de Burgers,CDA,ProTiel,ChristenUnie,GROENLINKS,Krachtig Tiel
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Stadhuis,0281::SB1,4001 MV,2171,1050,6,7,0,0,0,971,93,0,0,1,0,1,1064,115,108,177,329,58,70,38,98,57
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Verenigingsgebouw AVGN,0281::SB2,4001 WJ,2000,834,4,0,0,0,0,740,98,0,0,0,0,0,838,115,112,92,227,93,56,32,73,34
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Zorgcentrum Walstede,0281::SB3,4001 HE,1615,792,2,0,0,0,0,720,74,0,0,0,0,0,794,106,76,157,213,72,42,32,67,27
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Verenigingsgebouw KTVM,0281::SB4,4001 HZ,2026,637,2,2,0,0,0,567,74,0,0,0,0,0,641,115,74,62,183,39,42,29,66,27
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Centrum Oosthonk,0281::SB5,4005 VR,1870,860,1,1,0,0,0,738,123,0,1,0,1,0,861,128,97,106,255,63,55,26,80,50
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau De Vier Gravinnen,0281::SB6,4001 RZ,1908,853,4,7,0,0,0,738,126,0,0,0,0,0,864,143,145,90,167,75,56,30,102,45
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau De Achtbaan,0281::SB7,4005 VP,1819,581,1,4,0,0,0,514,72,0,0,0,0,0,586,93,58,96,164,43,35,19,45,28
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Verpleeghuis Vrijthof,0281::SB8,4003 CA,1776,925,2,3,0,2,0,830,98,0,2,0,0,0,928,148,78,198,189,120,39,48,90,15
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Betuwe Sporthal,0281::SB9,4006 AJ,2440,1015,7,2,0,0,0,875,149,0,0,0,0,0,1024,151,239,98,201,85,71,44,87,39
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Zorgcentrum Lingewaarde,0281::SB10,4002 AG,1736,908,6,3,0,0,0,814,103,0,0,0,0,0,917,138,106,180,189,120,42,28,82,23
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Centrum Westroyen,0281::SB11,4003 AL,1585,678,2,1,0,0,0,612,69,0,0,0,0,0,681,99,86,69,204,55,31,26,71,37
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau activiteitengebouw kerk Wadenoijen,0281::SB12,4014 MB,1424,722,1,5,0,0,0,635,93,0,0,0,0,0,728,48,57,176,175,101,21,77,54,13
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Drumptse Hof,0281::SB13,4003 GA,1738,1104,7,4,0,0,0,1000,115,0,0,0,0,0,1115,139,129,256,243,126,45,48,76,42
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau ROC Rivor,0281::SB14,4003 KZ,1587,731,5,5,0,0,0,658,83,0,0,0,0,0,741,107,72,131,200,63,38,27,69,24
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau dependance Rotondaschool,0281::SB15,4007 TS,1808,270,2,2,0,0,0,242,32,0,0,0,0,0,274,44,27,61,37,22,33,10,18,18
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau Rotondaschool,0281::SB16,4007 TJ,1899,1333,8,2,0,0,0,1182,161,0,0,0,0,0,1343,201,143,325,299,67,81,49,114,54
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau De Waayer,0281::SB17,4007 TP,1632,1201,7,1,0,0,0,1050,159,0,0,0,0,0,1209,158,106,287,270,97,90,50,87,56
,Tiel,GR2018_Tiel,Gemeenteraad Tiel 2018,0281,Tiel,2018-03-21,Stembureau gebouw Wijkvereniging Passewaaij,0281::SB18,4007 TS,1582,578,2,3,0,0,0,515,68,0,0,0,0,0,583,87,36,139,115,60,53,33,37,18
