contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PAPENDRECHTS ALGEMEEN BELANG,VVD,CDA,Democraten 66 (D66),ChristenUnie,Partij van de Arbeid (P.v.d.A.),Onafhankelijk Papendrecht,Staatkundig Gereformeerde Partij (SGP),GROENLINKS
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Gemeentehuis,0590::SB1,3351 PB,1705,1679,11,2,0,2,0,1522,168,0,2,0,0,0,1690,518,185,192,129,171,122,117,150,95
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Morgensterkerk,0590::SB2,3353 VD,1705,857,2,4,0,0,0,769,94,0,0,0,0,0,863,292,66,137,43,93,66,44,70,46
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Oranje-Nassauschool,0590::SB3,3353 AT,1705,602,1,0,0,0,0,554,48,0,1,0,1,0,602,198,39,61,26,106,33,43,64,32
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau RK-parochie,0590::SB4,3353 VJ,1705,785,7,3,0,0,0,727,69,1,0,1,0,0,796,269,73,62,62,74,63,80,51,51
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Bethlehemkerk,0590::SB5,3351 HA,1705,734,1,0,0,0,0,669,66,0,0,0,0,0,735,240,63,87,51,99,18,56,76,44
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Sionskerk,0590::SB6,3351 JT,1705,869,5,2,0,0,0,796,80,0,0,0,0,0,876,298,65,77,61,135,32,37,102,62
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau De Viermaster,0590::SB7,3351 GZ,1705,987,1,4,0,0,0,881,111,0,0,0,0,0,992,349,61,76,87,97,78,82,44,113
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau De Knotwilg/Leilinde,0590::SB8,3352 BM,1705,790,4,3,0,0,0,722,75,0,0,0,0,0,797,241,85,95,76,62,62,70,20,79
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau De Lage Waard,0590::SB9,3352 VH,1706,709,3,4,0,0,0,655,61,0,0,0,0,0,716,225,71,111,64,75,52,55,20,36
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau De Knotwilg Moerbeihof,0590::SB10,3355 AJ,1706,1427,5,4,0,0,0,1290,146,0,0,0,0,0,1436,482,170,140,131,142,88,129,62,83
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Wilgenhoeck,0590::SB11,3355 RP,1706,832,4,1,0,0,0,750,88,1,0,1,0,0,838,308,104,86,78,61,49,79,26,41
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Dienstencentrum,0590::SB12,3354 BR,1706,930,4,7,0,1,0,854,88,0,0,1,0,0,942,310,103,85,57,84,62,112,65,52
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Gemiva,0590::SB13,3356 BG,1706,684,1,2,0,0,0,619,68,0,0,0,0,0,687,236,57,64,52,79,25,58,66,47
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Prins Florisschool Boeieraak,0590::SB14,3356 MJ,1706,620,5,4,0,0,0,563,66,0,0,0,0,0,629,216,94,68,56,44,46,47,20,29
,Papendrecht,GR2018_Papendrecht,Gemeenteraad Papendrecht 2018,0590,Papendrecht,2018-03-21,Stembureau Prins Florisschool Zuidkil,0590::SB15,3350 CD,1706,826,3,4,0,1,0,733,99,0,1,0,0,0,832,227,166,93,75,69,55,60,47,34
