contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Beter Voor Dordt,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),ChristenUnie-SGP,VVD,Verenigde Senioren Partij,GROENLINKS,10,PVV (Partij voor de Vrijheid),Dordtse Partij,Gewoon Dordt
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Stadhuis,0505::SB1,3311 CR,2583,1470,6,4,0,6,0,1371,103,0,6,0,0,0,1474,190,107,182,90,126,54,236,72,244,4,69,37,59
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Stadskantoor,0505::SB2,3311 GR,2815,1398,5,9,0,1,0,1279,134,0,0,1,0,0,1413,190,131,156,103,81,95,182,84,203,12,83,23,55
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau 't Zeepaert,0505::SB3,3311 BT,698,485,0,0,0,0,0,438,47,0,0,0,0,0,485,48,39,57,19,40,38,60,17,101,6,22,8,30
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Centrum Stapal,0505::SB4,3311 TV,1410,717,3,3,0,0,0,664,59,0,0,0,0,0,723,127,57,78,38,51,17,65,73,86,5,69,8,43
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Dordrechts Museum,0505::SB5,3311 XP,1692,941,2,3,0,0,0,848,98,0,0,0,0,0,946,131,63,145,71,84,33,97,42,179,4,50,10,32
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,"Stembureau 't Klockhuys, bij toren Grote Kerk",0505::SB6,3311 CJ,546,445,3,0,0,0,0,414,34,0,0,0,0,0,448,70,44,55,25,22,36,74,9,58,0,14,18,20
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School Vest,0505::SB7,3311 LG,1557,858,3,4,0,1,0,766,100,0,0,1,0,0,866,100,88,128,50,72,47,88,26,170,2,40,16,31
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Energiehuis,0505::SB9,3311 RR,1690,955,7,7,0,0,0,840,129,0,0,0,0,0,969,156,63,195,60,80,19,85,25,188,5,33,21,25
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau School Noordhove,0505::SB10,3312 EP,1124,641,5,1,0,0,0,588,59,0,0,0,0,0,647,108,50,96,28,46,51,50,24,98,4,32,23,31
,Dordrecht,GR2018_Dordrecht,Gemeenteraad Dordrecht 2018,0505,Dordrecht,2018-03-21,Stembureau Gebouw De Driesprong,0505::SB15,3312 GD,1794,986,8,5,0,1,0,886,114,0,0,1,0,0,1000,171,61,190,63,89,77,97,22,150,5,34,9,18
