contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SGP-ChristenUnie,Gemeente Belangen,CDA,A.U.B.,Democraten 66 (D66),VVD,Partij van de Arbeid (P.v.d.A.),Echt Voor Ambacht (E.V.A.)
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Gemeentehuis,0531::SB1,3342 AE,1910,997,0,4,0,0,0,875,125,0,1,0,1,0,1000,329,199,108,45,99,117,69,31
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Emmastaete,0531::SB2,3341 XD,1236,772,5,1,0,0,0,677,101,0,0,0,0,0,778,290,167,112,27,61,39,42,34
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau OBS De Bron,0531::SB3,3342 TA,1635,993,2,1,0,0,0,897,98,0,1,0,1,0,995,296,226,140,35,92,105,65,34
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau St. Hervormde Jeugdfederatie,0531::SB4,3341 TS,797,499,3,1,0,0,0,449,54,0,0,0,0,0,503,169,94,98,23,20,34,39,22
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Willem de Zwijgerschool,0531::SB5,3341 CE,1190,756,0,1,0,0,0,647,110,0,0,0,0,0,757,395,138,79,14,36,28,39,27
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Wielstaete,0531::SB6,3341 SP,1115,693,0,1,0,0,0,608,86,0,0,0,0,0,694,279,143,80,24,44,44,49,30
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Gereformeerde Kerk Open Hof,0531::SB7,3342 BS,1477,959,1,4,0,0,0,847,117,0,0,0,0,0,964,329,207,153,35,71,60,64,40
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau OBS De Bron,0531::SB8,3343 CB,1602,873,4,1,0,0,0,797,82,0,0,1,0,1,879,113,259,79,81,120,90,91,40
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau CBS De Meander,0531::SB9,3343 CB,879,486,0,1,0,0,0,432,55,0,0,0,0,0,487,70,122,88,35,56,58,36,21
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Sporthal De Ridderhal,0531::SB10,3341 BE,1297,683,0,1,0,0,0,599,85,0,0,0,0,0,684,152,184,89,45,76,69,39,29
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Wooncomplex De Kruidhof,0531::SB11,3343 BX,1542,823,3,3,0,0,0,745,82,0,2,0,2,0,827,193,221,106,76,59,71,61,36
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Postduivenvereniging De Luchtbode,0531::SB12,3343 LG,827,536,1,1,0,0,0,472,66,0,0,0,0,0,538,149,102,71,46,50,70,33,15
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Wijkgemeente De Ark,0531::SB13,3344 RP,1015,584,0,1,0,0,0,504,81,0,0,0,0,0,585,190,90,87,29,43,89,36,20
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Portacabin,0531::SB14,3344 PL,1385,1008,5,1,0,0,0,874,138,0,2,0,2,0,1012,175,239,87,56,122,255,48,26
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Zorgorganisatie De Blije Borgh,0531::SB15,3341 GD,969,597,3,0,0,0,0,527,74,1,0,1,0,0,601,218,98,70,28,83,45,31,24
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Sporthal De Sophiahal,0531::SB16,3344 PL,1899,1397,4,3,0,0,0,1240,164,0,0,0,0,0,1404,280,324,160,81,165,258,78,51
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Sophiastaete,0531::SB17,3344 PK,1382,629,2,3,0,0,0,559,74,0,1,0,1,0,633,130,136,94,34,74,95,46,20
,Hendrik-Ido-Ambacht,GR2018_HendrikIdoAmbacht,Gemeenteraad Hendrik-Ido-Ambacht 2018,0531,Hendrik-Ido-Ambacht,2018-03-21,Stembureau Yulius - De Volgerlanden,0531::SB18,3344 DD,923,172,1,1,0,0,0,151,23,0,0,0,0,0,174,47,37,21,1,18,25,15,8
