contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),GROENLINKS,Democratische Liberalen Wassenaar (DLW),Hart voor Wassenaar,Partij van de Arbeid (P.v.d.A.),Lokaal Wassenaar!
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,"Stembureau Raadhuis ""De Paauw""",0629::SB1,,1378,917,4,3,0,0,0,792,132,0,0,0,0,0,924,331,75,104,40,65,129,16,157
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Bloemcampschool,0629::SB2,,1071,967,4,3,0,1,0,808,165,0,1,0,0,0,973,499,76,69,62,45,70,16,130
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Buurtcentrum Het Kerkehout,0629::SB3,,1468,671,0,6,0,2,0,602,77,0,0,2,0,0,679,184,73,46,61,80,123,34,70
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Woonzorgcentrum Van Ommerenpark,0629::SB4,,962,600,3,4,0,0,0,525,83,1,0,1,0,0,608,283,83,33,13,41,55,6,86
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,"Stembureau SWZ ""Willibrord""",0629::SB5,,1472,853,3,4,0,0,0,774,86,0,0,0,0,0,860,228,134,93,59,52,112,27,148
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Sophiekehuis,0629::SB6,,1391,773,5,3,0,0,0,703,78,0,0,0,0,0,781,150,107,81,46,72,122,50,145
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Bibliotheek,0629::SB7,,1245,963,3,2,0,0,0,844,124,0,0,0,0,0,968,225,129,90,99,77,144,33,166
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Middelwegschool,0629::SB8,,1303,844,6,1,0,0,0,776,75,0,0,0,0,0,851,206,120,81,70,91,147,27,102
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,"Stembureau Verpleegtehuis ""Duinstede""",0629::SB9,,1467,784,4,1,0,0,0,699,90,0,0,0,0,0,789,158,125,79,59,76,124,40,123
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau gebouw 'Sion',0629::SB10,,1009,653,6,2,0,0,0,615,46,0,0,0,0,0,661,108,115,44,49,71,122,51,93
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Gemeentekantoor,0629::SB11,,1429,936,11,7,0,0,0,851,103,0,0,0,0,0,954,166,134,61,85,98,186,69,137
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,"Stembureau Sporthal ""De Schulpwei""",0629::SB12,,1320,591,2,3,0,0,0,527,69,0,0,0,0,0,596,104,90,22,44,79,127,49,76
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Buurtcentrum Van Polanenpark,0629::SB13,,1365,883,2,4,0,0,0,787,102,0,0,0,0,0,889,154,164,62,69,74,172,53,135
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,Stembureau Buurtcentrum Van Polanenpark,0629::SB14,,1919,799,1,4,0,0,0,723,81,0,0,0,0,0,804,124,125,63,66,80,169,59,113
,Wassenaar,GR2018_Wassenaar,Gemeenteraad Wassenaar 2018,0629,Wassenaar,2018-03-21,"Stembureau Kievietschool, ingang Oranjelaan",0629::SB15,,967,576,3,0,0,0,0,491,88,0,0,0,0,0,579,320,36,49,21,23,67,2,58
