contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),ChristenUnie,VVD
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Gemeentehuis,0482::SB1,2951 ED,2369,1405,10,6,0,0,0,1245,176,0,0,0,0,0,1421,357,223,238,160,137,290
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Openbare Bibliotheek,0482::SB2,2951 CB,1856,1168,5,9,0,0,0,1050,135,3,0,3,0,0,1185,292,278,213,103,116,166
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Stichting De Poort,0482::SB3,2951 AK,1080,719,0,1,0,0,0,618,102,0,0,0,0,0,720,254,93,122,53,97,100
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Woonzorgcentrum De Waard,0482::SB4,2951 XR,1691,864,7,3,0,0,0,769,105,0,0,0,0,0,874,243,174,172,79,93,103
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Sportcentrum Blokweer,0482::SB5,2951 HL,1460,926,6,0,0,0,0,820,112,0,0,0,0,0,932,185,193,152,168,75,153
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau School De Twijn (De Loopplank),0482::SB6,2951 SC,1391,839,5,5,0,0,0,781,67,0,1,0,0,1,848,170,190,160,108,91,120
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Ds. Joannes Beukelmanschool,0482::SB7,2951 BZ,659,383,1,3,0,0,0,333,54,0,0,0,0,0,387,188,76,47,18,24,30
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Centrum voor Jeugd en Gezin,0482::SB8,2954 BH,1626,816,5,1,0,0,0,732,89,0,1,0,1,0,821,131,182,108,145,71,179
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Multifunctioneel Centrum Maasplein,0482::SB9,2953 CH,1242,713,6,7,0,0,0,653,73,0,0,0,0,0,726,203,153,99,101,63,94
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Het Kompas,0482::SB10,2953 XM,1040,589,1,2,0,0,0,525,67,0,0,0,0,0,592,177,79,97,69,91,76
,Alblasserdam,GR2018_Alblasserdam,Gemeenteraad Alblasserdam 2018,0482,Alblasserdam,2018-03-21,Stembureau Sportpark Molenzicht,0482::SB11,2953 BD,815,511,6,3,0,0,0,478,42,0,0,0,0,0,520,94,139,73,69,62,74
