contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,Democraten 66 (D66),Gemeentebelangen Doetinchem,GROENLINKS,PvLM,ChristenUnie-SGP,Partij voor Mens en Milieu (PMM),11,Lokaal Belang Doetinchem
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Stadhuis,0222::SB1,7001 EW,1559,1016,3,5,0,0,0,953,71,0,0,0,0,0,1024,133,159,123,151,120,83,94,28,37,27,22,39
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Montessorischool De Pas,0222::SB2,7001 GL,1650,824,4,3,0,0,0,764,70,0,0,3,0,0,834,133,110,84,127,130,44,89,24,28,15,10,30
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Ontmoetingscentrum De Daele,0222::SB3,7002 HC,1702,920,3,2,0,0,0,855,70,0,0,0,0,0,925,173,125,108,103,72,59,104,24,86,12,12,42
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Trefcentrum Het Trommelslag,0222::SB4,7002 AZ,1701,724,4,3,0,0,0,686,45,0,0,0,0,0,731,105,111,114,73,53,71,46,22,55,20,22,32
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau OBS Hogenkamp,0222::SB5,7002 AZ,1280,529,1,1,0,0,0,484,47,0,0,0,0,0,531,70,104,94,27,33,61,42,14,27,21,15,21
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Clubhuis speeltuinvereniging Schoneveld,0222::SB6,7003 BK,1488,772,13,3,0,0,0,710,78,0,0,0,0,0,788,103,134,132,77,87,58,73,15,49,4,10,30
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Woonzorgcentrum Schavenweide,0222::SB7,7003 EB,1335,602,5,1,0,0,0,567,41,0,0,0,0,0,608,120,81,66,72,72,36,47,13,46,12,8,29
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Restaurant Groeskamp,0222::SB8,7005 BK,1317,448,0,2,0,0,0,417,33,0,0,0,0,0,450,93,64,33,76,41,30,58,11,15,5,3,19
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau MFA De Zonneboom,0222::SB9,7004 EL,1523,798,4,3,0,1,0,751,55,0,0,1,0,0,806,118,103,69,118,105,88,76,15,49,9,14,34
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Bassisschool IJzevoorde,0222::SB10,7004 HT,609,421,1,1,0,0,0,375,48,0,0,0,0,0,423,185,18,22,63,35,8,26,6,38,4,0,16
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Verzorgingshuis Het Weerdje,0222::SB11,7006 BG,965,546,1,1,0,0,0,502,46,0,0,0,0,0,548,118,56,55,90,76,40,51,11,12,11,5,21
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Buurthuis Fort Garry Horse,0222::SB12,7007 BK,1036,446,2,2,0,0,0,420,30,0,0,0,0,0,450,52,59,92,53,48,41,29,12,24,11,15,10
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Verpleeghuis Den Ooiman,0222::SB13,7009 AM,1124,566,1,4,0,1,0,503,69,0,0,1,0,0,572,89,72,30,105,77,37,58,15,56,6,5,16
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau OBS Hagen,0222::SB14,7009 CZ,1668,768,2,2,0,0,0,709,63,0,0,0,0,0,772,98,128,101,88,91,43,88,13,60,9,16,33
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Wijkgebouw Het Noorderlicht,0222::SB15,7002 CC,1782,485,1,1,0,0,0,452,35,0,0,0,0,0,487,47,118,99,24,25,45,33,24,28,16,7,19
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Basisschool De Wijngaard,0222::SB16,7009 DZ,1654,962,3,2,0,0,0,888,79,0,0,0,0,0,967,127,112,96,93,88,64,103,27,198,18,6,30
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Sporthal de Pol,0222::SB18,7011 BJ,1674,983,3,1,0,0,0,908,81,0,0,2,0,0,989,414,95,135,64,82,51,67,23,5,12,5,30
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Schoolgebouw St Augustinus,0222::SB19,7011 GB,1364,705,3,3,0,0,0,654,57,0,0,0,0,0,711,267,60,82,75,65,38,40,22,5,8,4,39
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Woonzorgcomplex Pelgrim,0222::SB20,7011 MK,1424,721,2,3,0,0,0,656,69,0,1,0,0,0,725,253,78,109,84,53,27,55,18,13,7,8,16
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau OBS De Huet,0222::SB21,7006 DG,1032,711,7,0,0,0,0,662,56,0,0,0,0,0,718,101,95,73,85,87,64,104,16,32,10,16,28
,Doetinchem,GR2018_Doetinchem,Gemeenteraad Doetinchem 2018,0222,Doetinchem,2018-03-21,Stembureau Waterschapsgebouw,0222::SB22,7006 GG,1866,693,4,0,0,0,0,659,38,0,0,0,0,0,697,106,87,52,91,110,59,64,18,43,16,10,37
