contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burger Belangen Brunssum Lijst Palmen,PAK (Progressief Akkoord),Partij van de Arbeid (P.v.d.A.),VVD,CDA,SP (Socialistische Partij),BCD,Lijst Borger
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau D'r Brikkeoave,0899::SB1,6444 AT,1514,1218,4,8,0,0,0,1123,107,0,0,0,0,0,1230,258,170,110,256,98,88,97,141
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Parochiezaal Gregorius-kerk,0899::SB2,6441 BD,1397,828,8,4,0,0,0,716,124,0,0,0,0,0,840,241,131,40,130,59,67,81,79
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Zaal café de Kroeg,0899::SB3,6441 TE,951,532,3,3,0,0,0,461,77,0,0,0,0,0,538,140,114,53,39,12,48,59,67
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Verpleeghuis Schuttershof,0899::SB4,6442 BE,1160,610,10,4,0,0,0,544,80,0,0,0,0,0,624,142,135,55,77,36,57,34,74
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau BS Meander,0899::SB5,6442 EJ,1683,612,5,4,0,0,0,552,69,0,0,0,0,0,621,186,120,59,29,12,73,87,46
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Zorgcentrum Huize Louise,0899::SB6,6443 BA,1578,857,12,5,0,0,0,759,114,1,1,0,0,0,873,229,152,71,110,61,83,61,90
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Speeltuingebouw Buschkesberg,0899::SB7,6443 CW,1198,535,10,0,0,0,0,477,68,0,0,0,0,0,545,73,108,69,96,41,53,51,44
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Brede School Langeberg,0899::SB8,6445 EM,1150,638,3,1,0,0,0,550,92,0,0,0,0,0,642,135,108,61,94,67,44,45,84
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Verenigingsgebouw De Burcht,0899::SB9,6445 CE,1268,646,3,8,0,0,0,568,89,0,0,0,0,0,657,104,100,62,94,58,70,48,110
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Parochiezaal Barbara-kerk,0899::SB10,6444 XM,1960,1154,15,7,0,0,0,1034,142,0,0,0,0,0,1176,207,191,64,138,70,163,230,91
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Trefcentrum,0899::SB11,6446 VK,1716,781,3,0,0,0,0,687,97,0,0,0,0,0,784,152,144,40,127,46,90,142,40
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Zorgcentrum Emmastaete,0899::SB13,6446 XC,2055,875,12,0,0,0,0,781,106,0,0,0,0,0,887,162,118,82,163,112,98,84,56
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau BS De Caleidoscoop,0899::SB14,6444 CL,2113,1118,7,3,2,0,0,983,147,0,0,2,0,0,1130,192,171,120,242,86,80,125,102
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Microhal Brunssum-Noord,0899::SB15,6441 HV,2767,1304,4,8,0,0,2,1164,150,0,0,0,0,0,1316,409,213,121,128,83,152,81,117
,Brunssum,GR2018_Brunssum,Gemeenteraad Brunssum 2018,0899,Brunssum,2018-03-21,Stembureau Basisschool Titus Brandsma,0899::SB17,6441 JJ,1029,610,3,5,0,0,0,520,98,0,0,0,0,0,618,96,128,74,99,78,42,37,56
