contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Samen Beter Nieuwkoop,CDA,VVD,Democraten 66 (D66),SGP-ChristenUnie,Natuurlijk Nieuwkoop
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Kaleidoskoop,0569::SB1,2421EX,2354,2519,9,12,0,4,0,2310,234,0,0,4,0,0,2544,777,489,386,228,144,495
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau De Rank,0569::SB2,2421BE,2322,1238,3,0,0,0,0,1099,142,0,0,0,0,0,1241,409,188,323,105,68,145
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Clubgebouw De Shelter,0569::SB4,2421NK,2550,483,0,0,0,0,0,431,52,0,0,0,0,0,483,156,75,84,44,27,97
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau De Rietzanger,0569::SB5,2431AD,1294,905,7,1,0,0,0,824,89,0,0,0,0,0,913,333,154,190,55,30,143
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau De Schutse,0569::SB6,3652LH,1036,553,1,0,0,0,0,503,51,0,0,0,0,0,554,189,101,80,33,93,57
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Parola,0569::SB8,2461CE,2181,1273,6,3,0,0,0,1181,101,0,0,0,0,0,1282,289,414,228,65,18,259
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Koeleman Potplanten B.V.,0569::SB9,2461TZ,1816,428,2,4,0,0,0,395,39,0,0,0,0,0,434,94,139,124,16,10,45
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Basisschool De Vosseschans,0569::SB10,2461BA,1410,1138,7,3,0,0,0,1072,76,0,0,0,0,0,1148,244,288,308,63,59,176
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Bibliotheek Ter Aar,0569::SB12,2461DR,1900,1328,4,1,0,1,0,1222,112,0,0,1,0,0,1334,269,333,320,76,100,230
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau De Ringkant,0569::SB13,2441AD,1624,765,3,2,0,0,0,690,80,0,0,0,0,0,770,112,207,174,42,36,194
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Gemeentehuis Nieuwveen,0569::SB14,2441LE,2254,1142,2,5,0,0,0,1037,111,0,1,0,0,0,1148,235,280,193,74,75,285
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Party-Centrum 't Trefpunt,0569::SB16,2435XP,1852,960,2,0,0,0,0,866,92,0,4,0,4,0,958,355,172,175,43,61,154
,Nieuwkoop,GR2018_Nieuwkoop,Gemeenteraad Nieuwkoop 2018,0569,Nieuwkoop,2018-03-21,Stembureau Mobiel stembureau,0569::SB21,,0,320,4,1,1,0,0,295,29,0,1,0,0,0,324,77,50,36,7,14,136
