contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,RUCPHENSE VOLKSPARTIJ (RVP),CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid)
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Centrum voor wonen&zorg KERKAKKERS,0840::SB1,4715HE,1800,774,3,1,0,0,0,690,88,0,0,0,0,0,778,230,213,137,54,39,101
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Gemeenschapshuis de Vaart,0840::SB2,4715AH,1871,1277,2,2,0,0,0,1124,157,0,0,0,0,0,1281,369,376,167,105,85,175
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Gemeenschapshuis D'N HOGE DRIES,0840::SB3,4721AC,1395,807,1,2,0,0,0,696,114,0,0,0,0,0,810,259,115,257,74,28,74
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Café de Coop,0840::SB4,4714EA,1551,892,3,0,0,0,0,742,153,0,0,0,0,0,895,267,253,66,62,45,199
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Dorpshuis De Trapkes,0840::SB5,4714CN,2259,1216,2,4,0,0,0,1002,220,0,0,0,0,0,1222,410,281,164,98,64,199
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Sportpark Rood-Wit,0840::SB6,4711AV,2087,895,6,1,0,0,0,703,199,0,0,0,0,0,902,132,408,37,22,36,260
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Centrum voor zorg&wonen Heidestede,0840::SB7,4711EH,2193,1076,2,1,0,0,0,853,226,0,0,0,0,0,1079,140,555,35,22,36,288
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau 't Pleintje,0840::SB8,4711JR,2135,937,3,0,0,0,0,751,189,0,0,0,0,0,940,82,414,29,51,42,319
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Gemeentehuis,0840::SB9,4725RW,1793,875,3,1,0,0,0,720,159,0,0,0,0,0,879,186,327,47,67,48,200
,Rucphen,GR2018_Rucphen,Gemeenteraad Rucphen 2018,0840,Rucphen,2018-03-21,Stembureau Steunpunt Mariavaart,0840::SB10,4735AT,1690,817,2,3,0,0,0,729,93,0,0,0,0,0,822,139,137,115,269,26,131
