contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Rijswijk (GR),BETER VOOR RIJSWIJK,Democraten 66 (D66),VVD,CDA,Partij van de Arbeid (P.v.d.A.),Onafhankelijk Rijswijk,GROENLINKS,LP,RijswijksBelang,Partij Sociaal Cultureel Centrum (PSCC),WIJ.
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Basisschool Kronenburgh,0603::SB1,2281 TC,1689,849,4,2,0,0,0,765,90,0,0,0,0,0,855,49,79,143,82,47,74,29,240,11,28,2,65
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Amicitia,0603::SB2,2281 GA,1911,1428,4,4,0,0,0,1284,151,0,1,0,0,0,1435,137,69,294,292,122,109,32,293,17,18,1,44
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Dienstencentrum Het Oude Raadhuis,0603::SB3,2282 AL,1509,789,2,15,0,0,0,736,69,0,1,0,0,0,805,52,127,61,69,63,48,55,179,4,53,0,78
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Wijkcentrum Oud Rijswijk,0603::SB4,2282 RZ,2162,1210,10,4,0,0,0,1107,116,0,1,0,0,0,1223,87,119,207,148,86,79,76,263,24,31,0,90
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Atelier Brown,0603::SB5,2285 GJ,1676,964,1,1,0,0,0,848,118,0,0,0,0,0,966,82,187,114,107,64,63,57,120,15,37,3,115
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Woonzorgcentrum Vredenburch,0603::SB6,2282 SK,2000,934,9,2,0,0,0,871,76,0,0,0,0,0,947,74,137,130,103,82,43,37,168,18,67,1,74
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau speeltuinvereniging Inter Amicos,0603::SB7,2282 KV,1752,777,4,4,0,0,0,711,73,0,1,0,0,0,784,44,114,120,96,47,46,27,122,45,45,2,69
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Amateurspalet,0603::SB8,2282 HM,1243,559,2,0,0,0,0,510,51,0,0,0,0,0,561,54,95,49,49,34,39,30,102,6,51,0,50
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Gemeentehuis,0603::SB9,2284 DP,678,702,6,2,0,0,0,645,65,0,0,0,0,0,710,67,111,53,78,68,41,47,84,25,58,2,68
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Belvédère Rijswijk,0603::SB10,2283 XM,1811,694,9,0,0,0,0,664,39,0,0,0,0,0,703,66,153,48,68,55,44,43,87,13,42,3,72
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau BS De Piramide (welzijnsruimte),0603::SB11,2283 GX,586,370,2,2,0,0,0,338,34,0,2,0,0,0,372,59,65,31,41,24,19,19,50,2,22,0,38
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Nieuwe Kerk,0603::SB12,2284 EH,2304,1035,6,7,0,0,0,980,68,0,0,0,0,0,1048,76,170,82,113,121,65,67,133,15,79,1,113
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Gebouw Trias,0603::SB13,2284 XL,1061,404,3,1,0,0,0,377,31,0,0,0,0,0,408,20,96,17,29,39,33,28,43,3,40,0,56
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Woonzorgcentrum Steenvoorde,0603::SB14,2285 CH,1072,476,2,1,0,0,0,444,35,0,0,0,0,0,479,44,58,40,83,79,34,23,51,1,21,3,39
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau sportcentrum De Schilp,0603::SB15,2285 SP,1491,804,2,1,0,0,0,722,85,0,0,0,0,0,807,60,157,76,116,68,32,50,82,17,59,2,85
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Speel-O-theek,0603::SB16,2285 XM,1386,528,6,1,0,0,0,494,41,0,0,0,0,0,535,41,100,55,70,60,28,27,70,0,33,0,44
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Basisschool Steenvoorde (gymzaal),0603::SB17,2285 VD,1187,544,4,1,0,0,0,492,55,0,2,0,0,0,547,36,138,40,32,48,42,22,55,7,35,3,86
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Basisschool Wethouder Brederode,0603::SB18,2286 MV,1535,818,2,7,0,0,0,727,97,0,3,0,0,0,824,45,149,52,83,93,35,64,56,11,53,0,177
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Petrusschool,0603::SB19,2286 RL,1328,651,0,2,0,0,0,588,65,0,0,0,0,0,653,44,144,34,38,80,34,34,47,4,40,3,149
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Het Kristal (vh Shalomschool),0603::SB20,2286 GE,1164,668,2,2,0,0,0,593,80,0,0,1,0,0,673,41,144,28,26,60,37,41,48,13,62,3,165
,Rijswijk,GR2018_Rijswijk,Gemeenteraad Rijswijk 2018,0603,Rijswijk,2018-03-21,Stembureau Stervoorde,0603::SB21,2286 BA,1244,817,5,5,0,0,0,730,94,0,3,0,0,0,824,68,123,51,144,75,62,43,75,8,46,4,118
