contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,BuitenGewoon Leefbaar (BGL),Partij van de Arbeid (P.v.d.A.),CDA,CPB,VVD,Democraten 66 (D66),ChristenUnie,GROENLINKS
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk, Gemeentehuis",1708::SB1,8331 XE,1646,918,5,3,0,0,0,870,55,0,1,0,0,0,925,176,225,129,33,134,41,91,89
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,Stembureau Steenwijk MFC de Zuidwester,1708::SB2,8331 MZ,881,460,3,0,0,0,0,430,33,0,0,0,0,0,463,83,134,46,18,57,26,56,40
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk, Kindcentr. Willem-Alexander",1708::SB3,8331 RV,1044,346,4,4,0,0,0,318,36,0,0,0,0,0,354,57,181,20,19,26,7,17,19
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk, Nijenstede",1708::SB4,8331 GZ,1699,964,9,2,0,3,2,899,71,0,3,0,0,0,972,133,214,210,25,171,63,78,70
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk, Zonnekamp",1708::SB5,8331 XR,1698,907,9,1,0,0,0,843,75,1,0,1,0,0,918,141,268,138,32,128,50,84,66
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk, Mixed Hockey Club",1708::SB6,8332 CZ,1274,754,3,3,0,0,0,709,51,0,0,0,0,0,760,130,142,77,34,145,64,98,64
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk, Wijkgebouw De Gagels",1708::SB7,8331 BZ,1530,745,4,1,0,0,0,703,47,0,0,0,0,0,750,123,182,114,21,104,42,67,92
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk, De Meenthehof",1708::SB8,8332 AZ,1380,784,12,2,0,0,0,738,60,0,0,0,0,0,798,126,179,103,37,97,59,87,96
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk,Wijkcentrum De Oerthe",1708::SB9,8332 JD,1063,615,4,1,0,0,0,580,40,0,0,0,0,0,620,106,119,93,30,90,49,72,56
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Tuk,  Scouting Gebouw",1708::SB10,8334 RR,1743,1076,1,1,0,0,0,1008,70,0,0,0,0,0,1078,235,179,225,33,146,77,88,93
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Willemsoord, MFC et Kloniehuus",1708::SB11,8338 ST,1038,475,1,2,0,0,0,427,51,0,0,0,0,0,478,173,76,67,14,53,25,28,39
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Onna, Dorpshuis",1708::SB12,8344 XR,1164,437,6,1,0,0,0,401,43,0,0,0,0,0,444,79,71,62,14,78,31,37,65
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Eesveen, OBS de Driesprong",1708::SB13,8347 JP,756,413,1,1,0,0,0,372,43,0,0,0,0,0,415,92,43,58,18,118,27,26,31
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijkerwold, MFC Hoogthij",1708::SB14,8341 SC,1681,1055,5,3,0,3,0,980,86,0,0,3,0,0,1066,384,195,185,21,82,54,55,79
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Kallenkote, Dorpshuis",1708::SB15,8345 HH,293,174,1,0,0,0,0,162,13,0,0,0,0,0,175,37,13,42,7,45,14,8,8
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Vollenhove, Landstede Educatie",1708::SB16,8325 XH,1697,860,1,2,0,0,0,795,68,0,0,0,0,0,863,79,184,124,308,47,16,78,24
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Steenwijk, Kinderopvang Speel@Home",1708::SB17,8332 GL,950,570,3,0,0,0,0,536,37,0,0,0,0,0,573,96,90,78,20,118,69,51,48
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Vollenhove, Nieuw Clarenberg",1708::SB18,8325 AZ,1475,1109,4,3,0,0,0,1027,89,0,0,0,0,0,1116,105,185,197,329,73,26,160,34
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau St Jansklooster, Sint Janskamp",1708::SB19,8326 BZ,1177,767,2,1,0,0,0,683,87,0,0,0,0,0,770,39,28,84,360,41,15,188,12
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Kadoelen, Vrijgemaakte Ger Kerk",1708::SB20,8326 AV,753,525,1,4,0,0,0,505,25,0,0,0,0,0,530,26,15,63,132,28,5,241,15
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Belt-Schutsloot, Dorpshuis",1708::SB21,8066 PT,453,343,0,0,0,0,0,322,21,0,0,0,0,0,343,139,8,17,131,9,8,18,13
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Wanneperveen, Dorpshuis De Wanne",1708::SB22,7946 AP,1344,764,4,2,0,0,0,707,63,0,0,0,0,0,770,114,46,74,296,119,18,55,42
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Giethoorn, Zonnewiede",1708::SB23,8355 DE,935,603,2,0,0,0,0,537,68,0,0,0,0,0,605,167,95,83,27,149,40,8,34
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Giethoorn, De Buuzepolle",1708::SB24,8355 BE,1074,582,6,0,0,0,0,536,52,0,0,0,0,0,588,120,121,118,17,111,36,18,41
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Dwarsgracht, Dorpshuis",1708::SB25,8355 CT,157,117,0,0,0,0,0,106,11,0,0,0,0,0,117,25,5,15,19,24,9,8,12
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Blokzijl, MFC De Ploats",1708::SB26,8356 DB,1120,689,2,0,0,0,0,635,56,0,0,0,0,0,691,62,61,105,245,126,17,30,43
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Oldemarkt, Zalencentrum  Dalzicht",1708::SB27,8375 AH,1351,863,1,3,0,0,0,798,68,0,1,0,1,0,866,359,75,150,68,69,50,40,52
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Oldemarkt, De Landerijen",1708::SB28,8375 CD,1106,679,3,1,0,0,0,642,41,0,0,0,0,0,683,279,53,128,47,55,30,38,49
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Ossenzijl, Dorpshuis De Slinger",1708::SB29,8376 HK,455,273,1,0,0,0,0,245,29,0,0,0,0,0,274,129,18,29,7,22,13,27,28
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Kalenberg, KGH",1708::SB30,8377 HL,204,139,0,0,0,0,0,127,12,0,0,0,0,0,139,44,8,9,1,16,38,8,15
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Scheerwolde, Streekcentrum",1708::SB31,8371 WJ,588,390,2,0,0,0,0,392,0,0,0,0,0,0,392,76,48,106,41,62,19,20,18
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Kuinre, Dorpshuis De Botter",1708::SB32,8374 KC,725,432,5,0,0,0,0,407,30,0,0,0,0,0,437,102,38,68,47,120,12,23,22
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,"Stembureau Blankenham, Dorpshuis De Skulpe",1708::SB33,8373 EJ,269,176,1,0,0,0,0,154,23,0,0,0,0,0,177,43,9,37,31,20,8,5,23
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,Stembureau Station Steenwijk,1708::SB34,8331 GM,0,240,2,0,0,0,0,232,10,0,0,0,0,0,242,46,38,26,7,20,28,24,51
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,Stembureau Mobiel Stembureau,1708::SB35,,0,92,0,0,0,0,0,86,6,0,0,0,0,0,92,25,12,15,3,10,8,5,14
,Steenwijkerland,GR2018_Steenwijkerland,Gemeenteraad Steenwijkerland 2018,1708,Steenwijkerland,2018-03-21,Stembureau Varend Stembureau,1708::SB36,,0,61,1,0,0,0,0,55,7,0,0,0,0,0,62,3,3,10,4,15,10,8,8
