contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Het Aalsmeers Collectief,Democraten 66 (D66),Absoluut Aalsmeer,Partij van de Arbeid (P.v.d.A.),GROENLINKS
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Zorgcentrum Aelsmeer,0358::SB1,1431 BZ,2053,1186,11,2,0,0,0,1077,122,0,0,0,0,0,1199,367,374,18,73,217,70,67
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Solidoe De Dolfijn,0358::SB2,1431 RN,1266,984,5,6,0,0,0,889,106,0,0,0,0,0,995,272,273,22,78,182,71,86
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Wijkcentrum 't Baken,0358::SB4,1431 JA,1289,804,7,5,0,0,0,750,66,0,0,0,0,0,816,275,161,14,57,184,42,71
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Wijksteunpunt Seringenhorst,0358::SB5,1431 EM,1332,485,3,3,0,0,0,452,39,0,0,0,0,0,491,152,121,9,31,101,38,33
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau NH Wijkcentrum 't Anker,0358::SB6,1432 AV,1591,828,4,0,0,0,0,738,94,0,0,0,0,0,832,250,244,10,43,171,39,71
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Gezondheidscentrum Aalsmeer Oost,0358::SB7,1432 JZ,1597,771,4,5,0,0,0,722,58,0,0,0,0,0,780,213,192,22,66,164,50,64
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Buurthuis Hornmeer,0358::SB8,1431 WC,2021,1158,4,4,0,1,0,1054,113,0,0,1,0,0,1167,369,216,18,110,252,105,88
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau p.c.b.s. De Graankorrel,0358::SB9,1433 AN,1614,966,9,0,0,0,0,885,90,0,0,0,0,0,975,415,153,9,66,159,82,82
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Clubgebouw VZOD,0358::SB11,1433 HM,1769,928,4,3,0,2,0,832,105,0,0,2,0,0,937,372,199,17,74,135,66,65
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Gebouw De Mikado,0358::SB12,1432 JT,1765,1638,9,2,0,0,0,1410,239,0,0,0,0,0,1649,323,529,42,228,209,123,184
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau R.K. Antoniusschool,0358::SB14,1433 WB,1790,1077,6,4,0,0,0,965,122,0,0,0,0,0,1087,385,258,23,70,178,56,107
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Gemeentehuis Aalsmeer,0358::SB15,1431 EH,1204,959,7,3,0,0,0,853,116,0,0,0,0,0,969,233,352,13,92,138,59,72
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Proosdijhal,0358::SB17,1433 KA,1774,728,4,3,0,0,0,672,63,0,0,0,0,0,735,305,106,16,51,129,54,67
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Buurthuis 't Middelpunt,0358::SB18,1432 GB,1906,499,6,4,0,0,0,456,53,0,0,0,0,0,509,117,159,11,49,88,31,44
,Aalsmeer,GR2018_Aalsmeer,Gemeenteraad Aalsmeer 2018,0358,Aalsmeer,2018-03-21,Stembureau Wellantcollege MBO Aalsmeer,0358::SB20,1431 JV,1236,320,4,2,0,0,0,296,30,0,0,0,0,0,326,105,57,1,17,86,20,34
