contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,Algemeen Ouderen Verbond,CDA,GROENLINKS,PS Progressief Schiedam,ChristenUnie-SGP,Lokaal Onafhankelijk Schiedam (L.O.S.),DENK,Sociaal Liberaal Verbond (S.L.V.),OuderenPartij Schiedam
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Stadskantoor (Lunchkamer),0606::SB1,,1741,999,7,6,0,0,0,911,101,0,0,0,0,0,1012,97,80,51,166,101,49,115,65,19,68,70,78,40
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Parochiecentrum De Wilgenburg,0606::SB2,,2274,535,3,8,0,0,0,494,52,0,0,0,0,0,546,39,44,35,45,61,31,61,40,11,44,52,34,38
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Station Schiedam Centrum,0606::SB3,,2148,1344,11,13,1,0,0,1333,37,1,0,2,0,0,1370,220,97,76,160,74,52,230,83,42,69,130,75,36
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Stadskantoor (Klant Contact Centrum),0606::SB4,,1888,992,8,10,0,1,0,907,102,0,1,0,0,0,1009,132,84,52,136,70,46,109,42,20,64,138,73,26
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Wijkcentrum Oost,0606::SB5,,1883,665,4,7,0,0,0,595,81,0,0,0,0,0,676,34,61,44,81,59,29,53,38,10,43,109,63,41
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Openbare basisschool De Peperklip,0606::SB6,,2058,583,6,6,0,0,0,510,85,0,0,0,0,0,595,46,49,54,61,26,15,53,29,17,27,158,30,18
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau RK basisschool St. Willibrordus,0606::SB8,,2066,794,2,5,0,0,0,722,81,2,0,2,0,0,803,67,36,46,98,110,48,52,93,18,81,53,33,59
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Bewonersvereniging Schiedam-Zuid,0606::SB10,,1236,588,3,2,0,0,0,538,55,0,0,0,0,0,593,41,34,42,64,103,19,36,68,10,48,49,31,43
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Zorgcentrum Frankeland,0606::SB11,,1930,990,4,4,0,0,0,894,104,0,0,0,0,0,998,87,61,53,166,106,105,95,61,31,44,75,43,63
,Schiedam,GR2018_Schiedam,Gemeenteraad Schiedam 2018,0606,Schiedam,2018-03-21,Stembureau Wijkcentrum De Erker,0606::SB12,,2698,1111,2,6,0,0,0,987,135,3,0,3,0,0,1122,85,74,91,92,129,68,96,60,30,46,212,68,60
