contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),Gemeentebelangen Overbetuwe,VVD,GROENLINKS,Partij van de Arbeid (P.v.d.A.),ChristenUnie,BurgerBelangen Overbetuwe,Staatkundig Gereformeerde Partij (SGP)
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Gemeentehuis te Elst,1734::SB1,6661 EH,1430,1302,9,9,0,2,0,1134,184,0,2,0,0,0,1318,369,153,152,158,174,116,20,153,7
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Sportcentrum de Helster,1734::SB2,6661 AW,1440,852,2,5,0,2,0,753,108,0,0,2,0,0,861,256,134,118,76,107,61,13,85,2
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Overbetuwe College,1734::SB3,6661 ZR,1555,527,3,1,0,0,0,494,36,0,1,0,1,0,530,125,96,72,25,63,47,13,75,11
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Kruisakkers 1,1734::SB4,6662 DV,1404,763,0,6,0,2,0,699,68,0,2,0,0,0,767,141,129,126,85,114,59,22,84,3
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Verzorgingscentrum Tertzio,1734::SB5,6661 CP,1409,817,0,0,0,2,0,757,58,0,2,0,0,0,815,245,92,91,118,86,52,24,107,2
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Brede School de Kersentuin,1734::SB6,6662 VH,2056,1232,4,2,0,1,0,1108,129,0,1,0,0,0,1237,230,176,183,176,200,91,33,139,4
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Onder de Toren,1734::SB7,6661 DA,1633,595,1,3,0,0,0,526,71,0,2,0,2,0,597,147,85,73,94,71,46,15,62,2
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Het Westeraam,1734::SB8,6661 TZ,1887,744,7,2,0,0,0,753,0,0,0,0,0,0,753,117,168,93,132,98,55,18,60,3
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,"Stembureau Zorgcentrum Liefkenshoek, Heteren",1734::SB9,6666 BR,1293,807,2,0,0,0,0,753,56,0,0,0,0,0,809,181,70,150,67,74,103,89,62,11
,Overbetuwe,GR2018_Overbetuwe,Gemeenteraad Overbetuwe 2018,1734,Overbetuwe,2018-03-21,Stembureau Zalencentrum De Bongerd,1734::SB10,6666 CR,1268,640,1,2,0,0,0,581,61,0,1,0,1,0,642,134,63,140,65,72,74,47,39,6
