contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Weert Lokaal,CDA,VVD,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),DUS Weert,Juist495,Partij voor Weert
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Stadhuis,0988::SB1,,1832,1660,15,11,0,0,0,1524,159,0,3,0,0,0,1683,564,206,306,156,55,87,201,52,33
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Odaschool Anjelierstraat,0988::SB3,,1842,889,6,2,0,0,0,803,94,0,0,0,0,0,897,336,107,131,111,39,52,57,36,20
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Blokhut Scouting Fatima,0988::SB4,,2151,820,7,2,0,0,0,769,61,1,0,1,0,0,830,416,52,50,102,43,24,87,16,30
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Sporthal Aan de Bron,0988::SB6,,1380,845,9,4,0,0,0,775,83,0,0,0,0,0,858,319,84,131,84,49,35,88,27,28
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Zorgcentrum Hieronymus,0988::SB7,,1648,784,3,3,0,0,0,713,78,1,0,1,0,0,791,264,116,135,74,31,30,89,22,23
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Brede school Markeent,0988::SB8,,1904,739,9,2,0,0,0,659,91,0,0,0,0,0,750,235,73,94,77,64,62,88,20,26
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Wijkgebouw Keenter Hart,0988::SB9,,1945,936,9,2,0,1,0,898,50,0,0,1,0,0,948,293,109,89,127,80,58,95,13,72
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Sportpark Graswinkel,0988::SB10,,1870,884,8,6,0,1,0,798,101,0,0,1,0,0,899,321,119,121,58,45,59,89,30,42
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau MFA Kimpeveld,0988::SB11,,825,533,2,9,0,0,0,504,40,0,0,0,0,0,544,159,199,60,27,9,19,32,16,12
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Sportpark Op den Das,0988::SB12,,857,522,9,0,0,0,0,470,60,0,1,0,1,0,530,157,209,43,35,17,10,21,14,16
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Trefcentrum Willem Litjenshof,0988::SB13,,1760,966,12,1,0,0,0,886,93,0,0,0,0,0,979,343,163,183,72,28,45,82,25,25
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau Kantine SV Laar,0988::SB14,,2471,1244,2,1,0,0,0,1114,133,0,0,0,0,0,1247,479,168,236,81,37,76,102,40,25
,Weert,GR2018_Weert,Gemeenteraad Weert 2018,0988,Weert,2018-03-21,Stembureau IKC Laar,0988::SB15,,1602,873,1,1,0,0,0,790,85,0,0,0,0,0,875,288,185,184,39,16,60,67,14,20
