contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Sociaal Duurzaam W'werf/PvdA/WN!/VVA,VVD,CDA,Weststellingwerfs Belang,GROENLINKS,Democraten 66 (D66),Blijf Stellingwarfs
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Lindestede loc.Verpleeghuis, Wolvega",0098::SB1,8471 KZ,1866,689,9,6,0,0,0,645,59,0,0,0,0,0,704,184,118,139,74,62,40,72
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Lycklama Stins, Wolvega",0098::SB2,8472 AB,1363,800,5,1,0,1,0,754,51,0,1,0,0,0,805,171,220,165,57,70,54,63
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Hotel Wolvega/Holland Inn, Wolvega",0098::SB3,8471 MT,1667,881,7,4,0,0,0,839,53,0,0,0,0,0,892,256,154,144,101,89,41,96
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Sickengaoord, Wolvega",0098::SB4,8471 BS,1502,780,6,8,0,0,0,747,49,2,0,2,0,0,796,180,109,173,97,69,46,106
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Clubhuis ""Het Wolvennest"", Wolvega",0098::SB5,8471 HH,1544,763,4,5,0,0,0,734,38,0,0,0,0,0,772,210,120,141,127,69,33,63
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau OBS ""De Heidepolle"", Wolvega",0098::SB6,8471 VM,1447,675,7,2,0,0,0,633,51,0,0,0,0,0,684,184,106,118,92,70,37,68
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau 't Polderhuus, Munnekeburen",0098::SB7,8485 JE,1175,672,4,3,0,0,0,604,75,0,0,0,0,0,679,168,127,149,29,122,30,47
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,Stembureau Dorpshuis Oldelamer,0098::SB8,8486 GD,296,220,2,0,0,0,0,199,23,0,0,0,0,0,222,32,59,86,6,32,2,3
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Dorpshuis ""De Bult"", Ter Idzard",0098::SB9,8476 EN,518,318,2,1,0,0,0,292,29,0,0,0,0,0,321,42,100,79,13,45,28,11
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau OBS ""De Striepe"", Oldeholtpade",0098::SB10,8474 CE,860,515,5,3,0,0,0,480,43,0,0,0,0,0,523,90,131,103,38,53,50,50
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Multifunctioneel Centrum, Nijeholtpade",0098::SB11,8475 CB,375,238,5,0,0,0,0,221,22,0,0,0,0,0,243,60,63,39,16,28,27,5
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Dorpshuis ""De Tille"", Boijl",0098::SB12,8392 MA,745,406,1,2,0,0,0,359,50,0,0,0,0,0,409,53,107,98,50,51,17,30
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Openbare Bibliotheek, Noordwolde",0098::SB13,8391 BG,1238,663,7,1,0,0,0,608,63,0,0,0,0,0,671,197,156,57,108,75,26,44
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,Stembureau Clubgebouw vv Zandhuizen,0098::SB14,8389 TH,340,162,2,0,0,0,0,155,9,0,0,0,0,0,164,31,34,23,18,44,5,7
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau OBS ""De Velden"", Noordwolde",0098::SB15,8391 KG,709,415,5,1,0,0,0,390,31,0,0,0,0,0,421,102,84,55,62,65,22,25
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Dorpscentrum, Sonnega-Oldetrijne",0098::SB16,8479 HH,391,254,0,1,0,0,0,231,24,0,0,0,0,0,255,31,83,80,15,19,11,15
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau De Krommestede, Noordwolde",0098::SB17,8391 LH,987,407,5,1,0,0,0,380,33,0,0,0,0,0,413,126,98,47,64,38,12,22
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau OBS ""De Klaeter"", De Hoeve",0098::SB18,8394 VL,322,242,0,0,0,0,0,219,23,0,0,0,0,0,242,31,52,59,15,40,14,31
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Gebouw ""Het Anker"", Steggerda",0098::SB19,8395 PJ,973,529,1,1,0,0,0,485,45,0,0,0,1,0,530,79,157,109,31,60,20,73
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Gebouw ""'t Centrum"", De Blesse",0098::SB20,8397 GC,1073,594,9,1,0,0,0,543,61,0,0,0,0,0,604,68,139,158,68,60,23,78
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Dorpshuis, Oosterstreek",0098::SB21,8388 NE,434,272,0,1,0,0,0,249,24,0,0,0,0,0,273,69,90,22,16,25,15,35
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Linde College, Wolvega",0098::SB22,8472 AS,924,348,3,1,0,0,0,315,37,0,0,0,0,0,352,84,73,75,28,32,40,16
,Weststellingwerf,GR2018_Weststellingwerf,Gemeenteraad Weststellingwerf 2018,0098,Weststellingwerf,2018-03-21,"Stembureau Gemeentehuis, Wolvega",0098::SB23,8471 KR,0,443,7,3,0,0,0,425,28,0,0,0,0,0,453,98,91,61,51,62,27,53
