contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ABZ,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Alle Kernen Troef (A.K.T.)
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau Basisschool De Stappen,0873::SB1,4631 AD,1795,798,0,2,0,0,0,724,76,0,0,0,0,0,800,262,159,139,63,109,66
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau Gemeentehuis,0873::SB2,4631 GC,1741,1337,7,4,0,1,0,1191,158,0,0,1,0,0,1349,495,242,156,131,159,154
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau Appartementencomplex Lucashof,0873::SB3,4631 LR,1942,1020,4,4,0,0,0,919,109,0,0,0,0,0,1028,347,268,140,45,134,86
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau Dorpshuis 't Blickvelt,0873::SB4,4634 TN,1239,717,3,3,0,2,0,639,82,0,2,0,0,0,721,265,162,104,34,86,66
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau Kantine Sportpark Jac. van Hoek,0873::SB5,4631 GH,1982,790,3,2,0,0,0,700,95,0,0,0,0,0,795,339,182,81,58,58,72
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau MFC De Drieschaar,0873::SB6,4641 TH,1536,728,4,0,0,2,0,617,113,0,2,0,0,0,730,166,226,103,131,47,55
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau Woonzorgcentrum Mariahove,0873::SB7,4641 TL,1501,624,1,6,0,0,0,545,86,0,0,0,0,0,631,172,126,114,140,39,33
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau Hotel Dekkers,0873::SB8,4641 CP,1181,614,4,2,0,1,0,546,73,0,1,0,0,0,619,176,106,78,163,39,52
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau MFC De Biezen,0873::SB9,4645 DA,1485,555,2,2,0,0,0,495,64,0,0,0,0,0,559,247,36,81,56,42,93
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau Woonzorgcentrum De Beukenhof,0873::SB10,4645 HV,1673,652,1,3,0,0,0,586,70,0,0,0,0,0,656,267,67,97,56,54,111
,Woensdrecht,GR2018_Woensdrecht,Gemeenteraad Woensdrecht 2018,0873,Woensdrecht,2018-03-21,Stembureau MFC De Kloek,0873::SB11,4635 BW,1761,1093,1,3,0,0,0,967,129,1,1,0,0,0,1096,362,380,137,31,56,127
