contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,Gewoon Nijmegen,CDA,Stadspartij De Nijmeegse Fractie (DNF),9,VoorNijmegen.NU,Partij voor de Dieren,ChristenUnie,OPA,50PLUS
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Buurthuis Het Oude Weeshuis,0268::SB1,6511 WT,2087,1331,7,4,0,1,0,1248,93,0,1,0,0,0,1341,190,345,184,72,110,134,31,150,4,21,60,4,6,20
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Stadhuis,0268::SB2,6511 PP,2136,1551,1,3,0,1,0,1456,98,0,1,0,0,0,1554,191,437,222,94,167,62,57,161,3,17,97,10,8,25
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Stadswinkel,0268::SB3,6511 PS,2209,1718,15,3,0,0,0,1640,96,0,0,0,0,0,1736,173,487,336,77,222,61,51,143,3,25,95,19,3,23
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Titus Brandsma kapel,0268::SB4,6511 DW,1669,676,4,2,0,0,0,649,31,0,2,0,0,0,680,64,190,127,37,81,25,14,66,1,13,35,10,4,9
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Kolpinghuis,0268::SB5,6511 ER,2007,1233,12,6,0,0,0,1184,65,0,2,0,0,0,1249,85,332,250,65,179,42,42,109,0,27,72,14,2,14
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau De Villa,0268::SB6,6511 NW,1617,649,1,2,0,0,0,622,30,0,0,0,0,0,652,42,169,152,29,126,19,24,36,0,12,27,11,1,1
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Wijkcentrum Burghardt,0268::SB7,6512 DR,1202,1394,5,5,0,0,0,1343,67,0,0,6,0,0,1410,121,472,299,86,122,23,38,122,0,18,72,16,0,5
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Cordium Centrum voor groei en ontwikkeling,0268::SB8,6512 GB,2040,999,5,3,0,0,0,930,77,0,0,0,0,0,1007,120,277,142,67,104,26,47,82,0,24,38,14,9,49
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Parochiehuis Antonius van Paduakerk,0268::SB9,6524 JL,1626,806,2,1,3,4,0,746,70,0,0,7,0,0,816,35,259,159,47,99,10,47,72,0,12,42,16,1,7
,Nijmegen,GR2018_Nijmegen,Gemeenteraad Nijmegen 2018,0268,Nijmegen,2018-03-21,Stembureau Meander Vrijeschool voor basisonderwijs,0268::SB10,6524 KE,1467,624,4,2,0,0,0,594,34,0,2,0,0,0,628,42,215,134,47,58,5,28,35,0,4,39,13,0,4
