contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Rosmalens Belang,VVD,CDA,RAADSGROEPERING '' BOSCH BELANG '',SP (Socialistische Partij),Bossche Volks Partij,Partij van de Arbeid (P.v.d.A.),GROENLINKS,De Bossche Groenen,50PLUS,"""Leefbaar 's-Hertogenbosch""  Paul Kagie",Lokaal Liberaal 's-Hertogenbosch,Buitengewoon Ongewoon,PVV (Partij voor de Vrijheid),KNILLIS,gewoon ge-DREVEN
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Stadskantoor,0796::SB1,,1254,1144,5,2,0,0,0,1057,94,0,0,0,0,0,1151,226,13,188,102,48,60,44,81,123,89,26,62,12,13,27,30,0
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Stadsbibliotheek,0796::SB2,,1032,1208,7,3,0,0,0,1107,111,0,0,0,0,0,1218,201,10,162,86,38,76,23,92,193,181,17,62,11,3,18,33,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Van Neynsel Antoniegaarde,0796::SB3,,1449,695,1,3,0,0,0,648,51,0,0,0,0,0,699,102,4,90,61,32,46,37,45,105,65,8,39,5,0,31,24,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Bij Katrien,0796::SB4,,1068,311,4,1,0,0,0,287,29,0,0,0,0,0,316,40,4,65,46,11,9,4,30,22,37,8,20,1,0,4,9,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau BS  Het Bossche Broek (centrum),0796::SB5,,1534,793,2,5,0,0,0,734,67,1,0,1,0,0,801,156,4,136,60,33,32,10,76,89,118,7,26,5,4,18,18,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Franciscushuis,0796::SB6,,1052,635,0,0,0,0,0,554,83,2,0,2,0,0,637,136,4,98,59,23,38,7,34,88,100,1,23,8,1,8,6,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Verkadefabriek,0796::SB7,,1489,682,4,1,0,0,0,638,49,0,0,0,0,0,687,112,3,47,29,18,61,23,43,139,127,17,23,4,3,15,16,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Woon- en Zorgcentrum Nieuwehagen,0796::SB8,,1211,490,1,1,0,0,0,464,29,0,0,1,0,0,493,32,5,32,51,26,55,42,31,69,42,33,36,5,6,13,10,2
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Stadsarchief,0796::SB9,,1472,809,5,2,0,0,0,764,52,0,0,0,0,0,816,155,6,127,57,29,44,22,51,107,83,18,43,12,3,25,26,1
,'s-Hertogenbosch,GR2018_sHertogenbosch,Gemeenteraad 's-Hertogenbosch 2018,0796,'s-Hertogenbosch,2018-03-21,Stembureau Scouting Lucas,0796::SB10,,1353,574,2,0,0,0,0,534,42,0,0,0,0,0,576,77,2,43,55,33,53,45,40,70,80,16,25,4,2,17,11,1
