contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Democraten 66 (D66),Inwonersbelangen,Progressief Woerden (GroenLinks/PvdA),ChristenUnie-SGP,LijstvanderDoes,VVD,STERK Woerden,SP (Socialistische Partij)
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Concordia zalencentrum,0632::SB1,3441 BG,1937,1420,3,0,0,1,0,1313,111,0,0,1,0,0,1424,221,166,143,233,93,157,250,91,66
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Zorgcentrum 't Oude Landt,0632::SB2,3443 AH,1045,574,0,2,0,0,0,525,51,0,0,0,0,0,576,190,45,26,63,58,63,100,21,8
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Careyn 'Weddesteyn',0632::SB3,3445 AS,1414,1106,2,0,0,2,0,1017,93,0,0,2,0,0,1110,238,108,94,155,137,102,151,77,44
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau R. de Jagerschool,0632::SB4,3445 ER,1326,855,0,1,0,0,0,799,57,0,0,0,0,0,856,154,67,57,163,135,91,74,63,51
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Jan de Bakkerschool,0632::SB5,3442 XH,1772,1040,3,3,0,0,0,945,101,0,0,0,0,0,1046,201,88,93,125,146,143,110,81,53
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Islamitisch Cultureel Centrum Woerden,0632::SB6,3442 JE,1562,826,4,9,0,0,0,739,99,0,1,0,1,0,838,156,53,57,144,67,146,77,90,36
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Welzijn Woerden,0632::SB7,3443 EG,1519,879,1,4,0,0,0,801,83,0,0,0,0,0,884,176,74,53,177,74,125,95,73,32
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Thijs van der Polshal,0632::SB8,3443 CT,1323,812,1,2,0,1,0,740,74,0,1,0,0,0,814,181,72,61,78,60,173,103,66,18
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Jenaplanschool De Kring,0632::SB9,3443 GZ,1280,666,3,4,0,0,0,671,2,0,0,0,0,0,673,146,43,42,76,66,180,54,37,22
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Ontmoetingcentr.Kruiskerk,0632::SB10,3443 CD,1745,1002,1,4,0,0,0,920,87,0,0,0,0,0,1007,178,56,109,128,98,216,87,68,62
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Obs De Achtsprong,0632::SB11,3448 CH,2102,914,1,3,0,0,0,835,83,0,0,0,0,0,918,124,101,79,145,64,123,108,118,52
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Johan Frisoschool,0632::SB12,3448 DX,1667,988,1,4,0,0,0,918,75,0,0,0,0,0,993,131,99,73,183,59,120,106,172,45
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Maranathakerk,0632::SB13,3448 DC,1742,1148,3,0,0,0,0,1066,85,0,0,0,0,0,1151,166,85,99,170,98,163,124,186,57
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Constantijnschool,0632::SB14,3448 KA,1755,1258,3,1,0,0,0,1139,123,0,0,0,0,0,1262,124,160,61,240,108,91,110,322,42
,Woerden,GR2018_Woerden,Gemeenteraad Woerden 2018,0632,Woerden,2018-03-21,Stembureau Stadhuis,0632::SB15,3447 GV,1827,696,2,1,0,0,0,621,78,0,0,0,0,0,699,101,67,56,98,48,99,122,58,47
