contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,BEVOLKINGSBELANGEN HILLEGOM (BBH),CDA,Bloeiend Hillegom,VVD,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.)
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Villa Flora,0534::SB1,,1165,836,5,5,0,1,0,785,62,0,0,1,0,0,847,320,131,105,92,89,62,37
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Verenigingsgebouw De Drempel,0534::SB2,,1410,664,2,1,0,1,0,602,64,0,1,0,0,0,666,207,178,83,66,36,71,23
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Verenigingsgebouw De Bestemming,0534::SB3,,1493,611,3,0,0,0,0,570,44,0,0,0,0,0,614,271,92,54,62,46,63,23
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Speeltuin Weerestein,0534::SB4,,1588,808,0,1,0,0,0,722,87,0,0,0,0,0,809,286,153,122,75,71,71,30
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Zorgcentrum Parkwijk,0534::SB5,,1376,673,7,5,0,1,0,633,47,0,5,0,4,0,680,232,140,74,75,77,49,26
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Zorgcentrum Bloemswaard,0534::SB6,,1514,844,10,4,0,0,0,793,65,0,0,0,0,0,858,284,165,154,69,74,62,36
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Basisschool De Leerwinkel,0534::SB7,,1153,595,4,1,0,1,0,561,38,0,1,0,0,0,599,233,126,68,60,42,37,29
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Basisschool De Giraf,0534::SB8,,1070,452,2,1,0,0,0,411,44,0,0,0,0,0,455,189,75,62,29,47,32,18
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Zorgcentrum Bloemswaard 2,0534::SB9,,1609,872,2,1,0,2,0,806,67,0,2,0,0,0,873,277,202,160,66,68,60,39
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Squash Hillegom,0534::SB10,,1235,596,0,0,0,0,0,521,75,0,0,0,0,0,596,191,85,112,89,42,64,13
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Skicentrum Hillegom,0534::SB11,,1388,832,8,0,0,0,0,757,83,0,0,0,0,0,840,324,155,78,96,100,52,27
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Villa Flora 2,0534::SB12,,1172,816,3,2,0,0,0,738,83,0,0,0,0,0,821,315,131,94,66,98,71,41
,Hillegom,GR2018_Hillegom,Gemeenteraad Hillegom 2018,0534,Hillegom,2018-03-21,Stembureau Basisschool De Giraf 2,0534::SB13,,1338,917,1,3,0,0,0,835,86,0,0,0,0,0,921,387,171,132,63,63,61,40
