contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gewoon Lokaal!,De Volkspartij,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),Steenbergen in Beeld
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau Gemeentehuis,0851::SB1,4652 GA,2205,1233,13,4,0,0,0,1114,136,0,0,0,0,0,1250,215,424,203,100,106,136,49
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,"Stembureau Verzorgingsh.""Onze Stede""",0851::SB2,4651 EL,1393,809,8,6,0,0,0,733,90,0,0,0,0,0,823,134,241,147,84,75,91,37
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau R.K. Basisschool Gummarus,0851::SB3,4651 KM,2410,1365,9,5,0,0,0,1208,171,0,0,0,0,0,1379,319,507,176,80,110,125,48
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,"Stembureau Scoutinggeb.""Wallenburch""",0851::SB4,4651 WB,1700,874,3,7,0,1,0,786,97,0,1,0,0,0,883,198,221,163,71,88,105,28
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau Gemeenschapshuis De Vaert,0851::SB5,4651 XE,2897,726,6,4,0,0,0,646,90,0,0,0,0,0,736,174,195,143,37,38,111,28
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau Dorpshuis Siemburg,0851::SB6,4756 AR,1843,841,3,3,0,0,0,847,0,0,0,0,0,0,847,284,48,368,50,52,24,15
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau Dorpshuis De Stelle,0851::SB7,4655 AB,732,409,1,0,0,0,0,349,61,0,0,0,0,0,410,74,110,78,30,57,37,23
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau Verz.huis De Nieuwe Haven,0851::SB8,4671 AW,1671,797,4,4,0,0,0,725,80,0,0,0,0,0,805,239,62,88,41,182,164,21
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau OBS De Regenboog,0851::SB9,4671 ES,1746,797,2,4,0,1,0,699,105,0,0,1,0,0,804,237,46,117,33,199,151,14
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau Gemeenschapshuis De Vossenburcht,0851::SB10,4681 AS,1898,949,1,6,0,0,0,875,81,0,0,0,0,0,956,498,117,91,41,136,42,24
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau Kantine Sportpark,0851::SB11,4651 KS,1064,374,3,3,0,0,0,337,43,0,0,0,0,0,380,86,117,48,26,42,36,19
,Steenbergen,GR2018_Steenbergen,Gemeenteraad Steenbergen 2018,0851,Steenbergen,2018-03-21,Stembureau Dorpshuis,0851::SB12,4671 CC,1074,519,1,0,0,0,0,456,64,0,0,0,0,0,520,174,34,60,16,133,95,7
