contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Lijst Hilbrand Nawijn (LHN),VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),CDA,Zó! Zoetermeer,ChristenUnie-SGP,GROENLINKS,Nieuw Sociaal Zoetermeer (NSZ),-,Direkte Democratie Nederland (DDN),Partij voor Zoetermeer (PVZ),Partij Democratie voor Zoetermeer (PDvZ),Zoetermeer Vooruit,PVV (Partij voor de Vrijheid)
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Stichting Welzijn&Zorg Doven WeZoDo,0637::SB1,,1840,703,0,1,0,2,0,626,80,0,0,2,0,0,706,48,103,73,30,46,71,31,99,58,2,3,3,9,25,49,53
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Gereformeerde Kerk Vrijgemaakt,0637::SB2,,1617,823,3,0,0,4,0,751,79,0,0,4,0,0,830,65,90,104,30,44,73,36,134,114,0,4,4,7,20,40,58
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau WZC De Morgenster,0637::SB3,,1048,673,3,4,0,0,0,619,61,0,0,0,0,0,680,59,84,82,54,29,103,22,117,38,1,4,1,3,20,25,31
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Wijkservicecentrum De Spil,0637::SB4,,1321,713,10,0,1,0,0,660,64,0,0,1,0,0,724,115,104,86,42,53,77,22,39,65,0,4,0,15,19,36,36
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Basisschool De Jacobsvlinder,0637::SB5,,1850,742,3,2,0,0,0,683,64,0,0,0,0,0,747,70,103,71,61,52,63,36,62,101,1,6,6,18,22,33,37
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Castellum Palensteyn,0637::SB6,,1681,696,2,5,0,0,0,639,64,0,0,0,0,0,703,71,67,54,56,64,64,19,36,104,5,14,18,16,24,35,49
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau KBS De Paulusschool,0637::SB7,,873,466,1,1,0,0,0,418,50,0,0,0,0,0,468,81,49,79,27,19,48,12,28,51,0,5,1,7,20,13,26
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau IKC Stella Nova,0637::SB8,,1547,591,6,3,0,0,0,554,46,0,0,0,0,0,600,48,68,61,38,30,43,32,46,80,0,3,7,15,20,36,64
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Recreatieruimte Bijdorp,0637::SB9,,1820,917,1,3,1,0,0,835,87,0,0,1,0,0,922,129,109,163,39,63,91,49,72,86,1,6,1,8,15,43,42
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Stadhuis,0637::SB11,,2046,1380,8,6,1,0,0,1261,134,0,0,1,0,0,1395,166,175,207,91,72,129,86,47,150,2,13,10,26,69,66,71
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Recreatieruimte Flat De Leliënborgh,0637::SB12,,1595,823,8,4,1,1,0,769,68,0,0,2,0,0,837,80,103,98,56,63,65,64,40,72,1,8,13,5,41,51,63
,Zoetermeer,GR2018_Zoetermeer,Gemeenteraad Zoetermeer 2018,0637,Zoetermeer,2018-03-21,Stembureau Wooncomplex Albrandswaard,0637::SB15,,2269,744,12,7,0,1,0,703,59,0,1,0,0,0,762,62,99,65,58,69,78,50,51,51,6,4,5,11,16,46,73
