contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,OOG,VVD,Nieuwe Liberalen OG,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66)
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Antoniushove,1586::SB1,7131 CW,1487,808,6,1,9,0,0,777,47,0,0,9,0,0,824,276,176,172,80,60,44
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Schuttersgilde St. Switbertus,1586::SB2,7131 ZT,1596,993,2,5,0,0,0,940,60,0,0,0,0,0,1000,256,280,162,118,102,75
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau St. Jozefschool,1586::SB3,7131 GK,1511,930,4,4,0,0,0,872,66,0,0,0,0,0,938,242,197,218,105,88,80
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Den Diek,1586::SB4,7131 DP,1542,980,4,2,0,0,0,909,77,0,0,0,0,0,986,231,241,212,114,117,65
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau De Schoppe,1586::SB5,7131 SB,1323,741,2,2,0,0,0,686,58,0,1,0,0,0,744,131,226,108,106,94,76
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau St. Jorisschool,1586::SB6,7132 DK,1513,823,3,4,0,0,0,768,62,0,0,0,0,0,830,184,206,241,67,58,67
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Gemeentehuis,1586::SB7,7131 BJ,1385,660,2,0,0,0,0,606,56,0,0,0,0,0,662,196,133,164,70,61,36
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Sportcomplex De Bult,1586::SB8,7134 NJ,872,606,2,2,0,0,0,550,60,0,0,0,0,0,610,404,40,84,38,23,17
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Dorpshuis 't Kempken,1586::SB9,7135 JD,1038,665,0,5,0,0,0,626,44,0,0,0,0,0,670,393,132,74,19,19,28
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Parochiehuis,1586::SB10,7136 LM,1594,1098,2,16,0,0,0,1040,76,0,0,0,0,0,1116,664,182,107,44,51,50
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Bernard Vos Clubhuus,1586::SB11,7137 MD,1123,721,0,6,0,0,0,670,57,0,0,0,0,0,727,341,103,152,40,57,28
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,"Stembureau Zorgcentrum ""De Molenberg""",1586::SB12,7141 AN,1436,847,7,2,0,0,0,779,77,0,0,0,0,0,856,221,214,250,22,84,56
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Gezondheidscentrum den Papendiek,1586::SB13,7141 EL,1399,881,3,3,0,0,0,801,86,0,0,0,0,0,887,209,248,231,21,110,62
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Willibrordusschool,1586::SB14,7141 WH,1578,816,5,3,5,0,0,758,71,0,0,5,0,0,829,189,269,200,23,81,54
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau O.B.S. 't Palet,1586::SB15,7141 VG,1417,682,3,1,0,0,0,632,54,0,0,0,0,0,686,129,210,129,14,109,91
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Stadhuis,1586::SB16,7141 BE,1692,905,8,4,0,0,0,833,84,0,0,0,0,0,917,229,224,308,19,64,61
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau St. Theresiaschool,1586::SB17,7263 RW,704,472,1,1,0,0,0,438,36,0,0,0,0,0,474,219,159,57,10,13,14
,Oost Gelre,GR2018_OostGelre,Gemeenteraad Oost Gelre 2018,1586,Oost Gelre,2018-03-21,Stembureau Basisschool St. Ludgerus,1586::SB18,7142 HA,422,324,0,0,0,0,0,293,31,0,0,0,0,0,324,171,28,63,45,9,8
