contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Harlinger Belang,CDA,VVD,Democraten 66 (D66),WAD'N PARTIJ Harlingen,HOOP,GROENLINKS,ChristenUnie
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau Gemeentehuis 'De Groenlandsvaarder',0072::SB1,8861 BD,1325,842,2,1,0,0,0,753,92,0,0,0,0,0,845,217,92,65,190,62,80,39,72,25
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau R.K. Basisschool Sint Michaëlschool,0072::SB2,8861 CV,1523,934,3,0,0,0,0,876,61,0,0,0,0,0,937,203,131,119,131,77,76,65,86,46
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau Scholengemeenschap Simon Vestdijk,0072::SB3,8862 TA,1330,526,3,5,0,0,0,501,33,0,0,0,0,0,534,147,57,59,53,28,36,70,55,21
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau MFC Het Vierkant,0072::SB4,8862 BB,1754,896,0,0,0,0,0,820,76,0,0,0,0,0,896,238,155,136,101,55,46,67,51,47
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau CBS Prins Johan Friso,0072::SB5,8862 ZA,1690,787,8,6,0,0,0,726,75,0,0,0,0,0,801,227,110,162,53,51,39,48,41,56
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau Dorpshuis De Spil,0072::SB6,8872 NR,531,304,1,1,0,0,0,282,24,0,0,0,0,0,306,83,37,55,33,15,30,7,38,6
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau Wooncentrum Almenum,0072::SB7,8861 JH,1672,941,0,3,0,0,0,862,82,0,0,0,0,0,944,249,112,189,124,48,54,71,53,41
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau MCL-Harlingen/De Batting (De Haven),0072::SB8,8862 AJ,1170,703,0,2,0,0,0,645,60,0,0,0,0,0,705,166,90,140,94,49,51,45,28,40
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau Dorpshuis De Bijekoer,0072::SB9,8857 BT,390,225,4,2,0,0,0,215,16,0,0,0,0,0,231,78,19,25,33,4,49,2,12,3
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau OBS Noorderlicht,0072::SB10,8862 WC,1091,555,1,1,0,0,0,508,49,0,0,0,0,0,557,149,94,87,70,31,44,24,32,24
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau Stationsrestauratie Harlingen,0072::SB11,8861 GA,40,219,2,4,0,0,0,210,15,0,0,0,0,0,225,55,34,19,14,23,11,20,32,11
,Harlingen,GR2018_Harlingen,Gemeenteraad Harlingen 2018,0072,Harlingen,2018-03-21,Stembureau Mobiel of bijzonder stembureau,0072::SB12,8861 VD,40,63,1,0,0,0,0,59,5,0,0,0,0,0,64,22,8,12,2,0,1,9,7,2
