contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij Westvoorne (PW),Gemeentebelangen  Westvoorne,VVD,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Inwonersbelang Westvoorne (IBW)
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau Cultureel Centrum De Man,0614::SB1,3233 AG,1137,915,5,3,0,5,0,836,92,0,0,5,0,0,928,182,161,172,53,61,60,226
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau Gemeentehuis Oostvoorne,0614::SB2,3233 AN,1257,449,0,2,0,0,0,405,46,0,0,0,0,0,451,89,73,93,26,39,34,95
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau de Leemgaarde,0614::SB3,3233 BR,1233,768,3,4,0,0,0,723,54,2,0,2,0,0,777,155,94,160,71,55,60,173
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau de Overbosschool,0614::SB4,3233 VL,1382,960,4,3,0,1,0,850,116,0,1,0,0,0,966,155,114,314,63,73,78,163
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau MFC  de Meander,0614::SB5,3233 GX,1432,698,2,2,0,0,0,639,63,0,0,0,0,0,702,139,92,97,43,64,44,219
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau Het Gemeentehuis (hal),0614::SB6,3235 AP,1221,754,3,3,0,1,0,668,91,0,1,0,0,0,759,182,87,183,72,61,75,94
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau De Welkomkerk,0614::SB7,3235 BK,1374,751,3,5,0,2,0,683,78,0,0,2,0,0,761,200,54,128,114,69,48,138
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau Stuifakkers,0614::SB8,3235 DZ,1246,512,3,4,0,0,0,469,51,1,0,1,0,0,520,125,45,123,54,33,52,80
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau Cultureel Centrum de Merel,0614::SB9,3235 CE,1151,669,3,1,0,0,0,601,72,0,0,0,0,0,673,191,69,102,52,49,62,144
,Westvoorne,GR2018_Westvoorne,Gemeenteraad Westvoorne 2018,0614,Westvoorne,2018-03-21,Stembureau St. Verenigingsgebouw Tinte,0614::SB10,3234 KS,589,402,1,1,0,1,0,366,39,0,0,1,0,0,405,97,38,96,71,10,46,44
