contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,SGP-ChristenUnie,SP (Socialistische Partij),VVD,Democraten 66 (D66),Partij voor Goes,Partij van de Arbeid (P.v.d.A.),GROENLINKS,NG (Nieuw Goes)
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Gasthuis,0664::SB1,4461RB,1434,882,3,4,0,0,0,792,97,0,0,0,0,0,889,186,104,48,173,83,51,92,63,82
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Ter Valcke,0664::SB2,4461SP,1358,910,3,1,0,1,0,819,96,0,0,1,0,0,915,181,182,30,133,63,81,83,68,89
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau De Wingerd,0664::SB3,4464JA,1555,1072,6,2,0,0,0,962,118,0,0,0,0,0,1080,226,299,29,166,76,43,59,103,71
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Randhof,0664::SB4,4461WL,1361,659,1,3,0,0,0,594,69,0,0,0,0,0,663,126,109,54,66,39,64,67,61,73
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Stadskantoor,0664::SB5,4461GE,1430,1011,1,4,0,0,0,909,107,0,0,0,0,0,1016,220,73,62,192,84,97,80,94,109
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau de Westkant,0664::SB6,4461XN,1409,664,1,2,0,0,0,606,61,0,0,0,0,0,667,118,83,63,75,52,63,56,68,86
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Openbare Ruimte,0664::SB7,4463BS,1827,372,0,3,0,0,0,335,40,0,0,0,0,0,375,37,48,56,41,28,37,50,29,46
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau Erasmuspark,0664::SB8,4463XZ,1592,962,5,5,0,1,0,873,98,0,1,0,0,0,971,189,148,69,70,58,106,95,106,121
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau De Spinne,0664::SB9,4463CV,1671,975,1,10,0,1,0,872,113,0,1,0,0,0,985,158,124,106,69,60,105,111,105,137
,Goes,GR2018_Goes,Gemeenteraad Goes 2018,0664,Goes,2018-03-21,Stembureau De Pit,0664::SB10,4462TL,1304,787,1,0,0,0,0,735,53,0,0,0,0,0,788,165,99,71,79,36,88,88,64,97
