contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeenschapslijst,Leefbaar Someren,Lijst Someren-Heide,Partij van de Arbeid (P.v.d.A.),Wij Zijn Someren / VVD
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau Gemeentehuis,0847::SB1,5711 EK,1307,1246,0,5,0,2,0,1092,161,0,0,0,0,0,1253,434,215,124,38,147,288
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau Kantine De Postel,0847::SB2,5711 ET,1801,1014,6,4,0,0,0,905,119,0,0,0,0,0,1024,407,134,120,32,161,160
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau Sonnehove,0847::SB3,5711 HA,1922,954,12,0,0,1,0,877,88,0,0,0,0,0,965,347,185,95,47,119,161
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau De Weijers,0847::SB4,5711 VV,1984,963,3,0,0,0,0,850,116,0,0,0,0,0,966,394,118,80,13,125,233
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau Eegelshoeve,0847::SB5,5711 VG,1700,683,3,4,0,0,0,603,87,0,0,0,0,0,690,236,118,81,38,87,123
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau De Bunt,0847::SB6,5712 GC,1220,780,3,0,0,0,0,662,121,0,0,0,0,0,783,76,41,14,581,17,51
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau De Vurherd,0847::SB7,5715 AN,1788,1087,10,0,0,0,0,971,126,0,0,0,0,0,1097,167,300,42,18,155,405
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau De Einder,0847::SB8,5712 EM,1151,1072,8,5,0,0,0,920,165,0,0,0,0,0,1085,88,813,33,30,49,59
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau Bassisschool De Vonder,0847::SB9,5712 CA,1585,679,3,0,0,0,0,612,70,0,0,0,0,0,682,34,586,20,6,7,26
,Someren,GR2018_Someren,Gemeenteraad Someren 2018,0847,Someren,2018-03-21,Stembureau Basisschool De Ranonkel,0847::SB10,5711 KT,1123,508,0,0,0,0,0,441,67,0,0,0,0,0,508,179,82,63,22,46,116
