contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),CDA,VVD,HELDER HELMOND,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Helmond Aktief,GROENLINKS,Lokaal sterk,VKM Leo Broers,ChristenUnie,plan!,50PLUS
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau DE CACAOFABRIEK,0794::SB1,5705 LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau STATION HELMOND CS,0794::SB2,5701 PE,0,234,2,2,0,0,0,217,21,0,0,0,0,0,238,24,28,22,20,18,27,5,51,13,4,3,8,11
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau BUSINESS CLUB HELMOND SPORT,0794::SB3,5703 DX,0,56,0,0,0,0,0,47,9,0,0,0,0,0,56,3,9,9,12,4,0,0,0,13,0,0,5,1
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau ELKERLIEK ZIEKENHUIS,0794::SB4,5707 HA,0,161,1,1,0,0,0,148,15,0,0,0,0,0,163,19,25,25,12,16,8,9,21,10,0,2,6,8
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau STADSHARMONIE PHILEUTONIA,0794::SB5,5707 LA,0,67,0,0,0,0,0,59,8,0,0,0,0,0,67,8,6,9,9,2,3,5,9,7,0,3,0,6
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WOONZORGCENTRUM DE AMEIDE,0794::SB101,5701 ZZ,2140,888,11,4,0,0,0,811,88,0,4,0,0,0,899,147,134,57,69,94,54,24,70,99,8,15,34,83
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKHUIS BREDE SCHOOL DE FONKEL,0794::SB102,5701 VL,2816,1144,12,8,0,0,0,949,209,0,6,0,0,0,1158,170,191,39,65,211,42,33,176,65,27,25,47,53
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau STADSKANTOOR HELMOND,0794::SB103,5701 NV,1813,564,2,2,0,0,0,504,64,0,0,0,0,0,568,102,61,50,34,34,28,22,73,64,5,6,22,63
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau VALKENNEST (BETHLEHEMKERK),0794::SB104,5702 PJ,2471,760,6,0,0,0,0,675,92,0,0,1,0,0,767,131,63,50,114,51,37,28,106,59,21,16,35,49
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau STADSWINKEL,0794::SB105,5707 BX,2141,672,11,1,0,0,0,639,45,0,0,0,0,0,684,70,103,105,32,37,52,33,99,44,5,6,38,48
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau ROC TER AA,0794::SB106,5702 NR,1857,519,3,2,0,0,0,456,68,0,0,0,0,0,524,85,75,38,56,49,26,20,57,30,12,2,21,48
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WOONZORGCENTRUM DE EEUWSELS,0794::SB201,5702 HW,2163,728,7,7,0,0,0,663,79,0,0,0,0,0,742,154,79,32,82,60,30,29,67,68,7,11,39,70
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau WIJKCENTRUM DE BOERDERIJ,0794::SB203,5702 JD,2604,889,4,7,0,2,0,800,98,0,2,0,0,0,898,143,87,39,134,75,44,52,112,69,9,11,29,85
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau ZORGBOOGCENTRUM DE PANNEHOEVE,0794::SB205,5702 BA,2699,802,7,5,0,0,0,709,105,0,0,0,0,0,814,155,73,34,85,66,24,34,90,102,9,15,33,82
,Helmond,GR2018_Helmond,Gemeenteraad Helmond 2018,0794,Helmond,2018-03-21,Stembureau PRAKTIJKSCHOOL HELMOND,0794::SB302,5703 GR,2122,753,7,4,0,0,0,685,79,0,0,0,0,0,764,136,80,39,82,82,28,27,82,65,4,9,28,91
