contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LOKAAL ALTERNATIEF,CDA,SP (Socialistische Partij),VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Pro Duiven,GROENLINKS
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Gemeentehuis,0226::SB1,6921 ES,1153,972,5,4,0,5,0,869,117,0,0,5,0,0,986,224,177,141,170,81,50,63,66
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Woonzorgcentrum Thuvine,0226::SB2,6921 AR,1985,755,7,6,0,0,0,705,63,0,0,0,0,0,768,199,159,91,91,46,38,62,69
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Kantoor La Gare (NS Station),0226::SB3,6922 HH,1194,698,3,8,0,0,0,654,55,0,0,0,0,0,709,146,63,116,87,69,46,76,95
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Dorpshuis Groessen,0226::SB4,6923 BD,1651,1056,3,1,0,0,0,965,95,0,0,0,0,0,1060,776,88,30,84,25,15,14,24
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Kantine Sportvereniging Loo,0226::SB5,6924 AE,863,534,2,1,0,0,0,473,64,0,0,0,0,0,537,325,67,26,44,24,8,11,29
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Cultuurcentrum De Ogtent,0226::SB6,6921 BL,1574,423,0,0,0,0,0,390,33,0,0,0,0,0,423,121,47,59,57,30,38,31,40
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Kantine Tennis Centre Duiven,0226::SB7,6921 JL,1948,767,5,3,0,0,0,724,51,0,0,0,0,0,775,178,104,63,165,65,47,69,76
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Seniorensoos Het Palet,0226::SB8,6921 MJ,1679,1031,5,2,0,2,0,962,78,0,0,2,0,0,1040,255,122,183,131,62,72,116,90
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Voormalige peuterspeelzaal De Zandbak,0226::SB9,6921 MJ,1469,452,0,1,0,1,0,425,29,0,0,1,0,0,454,127,65,63,62,33,31,28,43
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Voormalige basisschool De Timp,0226::SB10,6922 DB,1687,771,2,1,0,1,0,703,70,0,1,0,0,0,773,166,95,83,146,66,53,59,103
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Stichting Senior Club,0226::SB11,6922 ER,1702,809,3,5,0,1,0,745,71,0,1,0,0,0,816,231,130,102,129,70,46,51,50
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Basisschool Toermalijn,0226::SB12,6922 NP,1313,705,4,3,0,2,0,648,66,0,0,2,0,0,714,155,80,96,146,70,36,57,65
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Sportcentrum Triominos,0226::SB13,6922 JB,851,345,3,1,0,0,0,316,33,0,0,0,0,0,349,85,31,52,61,26,18,25,47
,Duiven,GR2018_Duiven,Gemeenteraad Duiven 2018,0226,Duiven,2018-03-21,Stembureau Gemeentehuis (2),0226::SB14,6921 ES,1154,1120,9,5,0,3,0,1035,102,0,0,3,0,0,1137,268,164,179,185,87,77,70,90
