contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GBLV/Gemeentebelangen,VVD,Democraten 66 (D66),CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,ChristenUnie-SGP
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Voormalig Servicecentrum Voorburg,1916::SB1,,1325,1375,5,4,0,1,0,1246,139,0,0,1,0,0,1385,239,458,216,187,112,132,31
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Professor Casimirschool,1916::SB2,,2008,1157,1,5,0,3,0,1023,143,0,0,3,0,0,1166,128,410,207,154,104,128,26
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau WZH Het Anker,1916::SB3,,1119,1119,4,2,0,1,0,1002,124,0,0,1,0,0,1126,215,293,149,217,103,107,35
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Basisschool Sint Maarten,1916::SB4,,1855,1305,4,2,0,0,0,1158,150,0,3,0,3,0,1308,239,444,195,207,85,115,20
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Clubhuis Cartouche,1916::SB5,,1932,1151,2,2,0,1,0,1034,122,0,0,1,0,0,1156,260,335,169,129,96,125,37
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Wijkcentrum Agora,1916::SB6,,1823,1176,2,8,0,6,0,1069,123,0,0,6,0,0,1192,194,338,225,142,97,144,36
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Wijkcentrum Agora (2),1916::SB7,,1824,1161,4,1,0,5,0,1042,119,0,5,0,0,0,1161,188,364,207,127,101,144,30
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Basisschool De Parachute,1916::SB8,,1783,681,5,3,0,0,0,632,57,0,0,0,0,0,689,145,150,97,61,81,126,21
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Basisschool De Parachute (2),1916::SB9,,1783,771,0,4,0,0,0,698,77,0,0,0,0,0,775,171,130,111,81,128,124,26
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Wijkcentrum De Driesprong,1916::SB10,,1784,900,9,3,0,6,0,824,82,0,6,0,0,0,906,161,212,150,119,100,135,23
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Veurs Voorburg,1916::SB11,,1678,529,2,0,0,0,0,478,53,0,0,0,0,0,531,69,168,96,70,53,60,13
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Corbulocollege,1916::SB12,,2133,1320,15,7,0,0,0,1240,102,0,0,0,0,0,1342,276,346,139,208,143,156,52
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Koningkerk,1916::SB13,,1928,1681,21,13,0,0,0,1580,135,0,0,0,0,0,1715,328,341,233,235,197,276,71
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Wijkcentrum de Groene Loper,1916::SB14,,2483,924,4,7,0,3,0,863,75,0,0,3,0,0,938,230,183,113,136,95,126,41
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Kantine Forum Sport - Sportpark 't Loo,1916::SB15,,2195,522,3,0,0,0,0,472,53,0,0,0,0,0,525,93,179,61,75,56,45,13
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Sporthal Essesteijn,1916::SB16,,1392,953,0,7,0,0,0,863,97,0,0,0,0,0,960,204,270,125,132,92,105,25
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Sporthal Essesteijn (2),1916::SB17,,1392,1046,7,2,0,1,0,1053,1,0,1,0,0,0,1054,187,338,117,169,81,125,29
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Woonzorgcentrum De Mantel,1916::SB18,,1484,1194,6,2,0,1,0,1094,109,0,0,1,0,0,1203,285,299,110,217,126,103,54
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Stadskantoor Leidschendam,1916::SB19,,1683,1040,5,8,2,0,0,948,103,0,2,0,0,0,1051,206,280,160,176,90,103,25
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Stadskantoor Leidschendam (2),1916::SB20,,1683,1217,3,3,0,0,0,1085,138,0,0,0,0,0,1223,317,312,141,194,99,131,23
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Wijkgebouw De Blauwe Tram,1916::SB21,,1714,1102,4,2,0,0,0,995,113,0,0,0,0,0,1108,272,337,105,198,85,81,24
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Wijkgebouw Het Koophuys,1916::SB22,,1281,518,5,5,0,0,0,478,48,0,0,2,2,0,526,207,120,26,80,38,36,11
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau WZH Schoorwijck,1916::SB23,,1676,941,5,3,0,0,0,850,99,0,0,0,0,0,949,270,273,61,180,58,74,25
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Wijkgebouw Ons Tolhuis,1916::SB24,,2314,930,4,9,0,0,0,857,86,0,0,0,0,0,943,279,195,63,208,77,79,29
,Leidschendam-Voorburg,GR2018_LeidschendamVoorburg,Gemeenteraad Leidschendam-Voorburg 2018,1916,Leidschendam-Voorburg,2018-03-21,Stembureau Dienstencentrum Duivenvoorde,1916::SB25,,1500,907,2,5,0,1,0,839,74,0,1,0,0,0,913,303,161,69,165,84,83,42
