contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),Gemeentebelangen,Politieke Vereniging Eerlijk Alternatief,ChristenUnie-SGP,Partij voor de Dieren,LOKAAL LPN,Progressief PN/P.v.d.A/GROENLINKS,TPN ( Trots Pijnacker-Nootdorp )
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Gemeentekantoor Pijnacker,1926::SB1,2641 EZ,1523,1176,2,1,0,0,0,1067,112,0,0,0,0,0,1179,174,139,150,112,218,49,75,26,178,55
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Sporthal 't Baken,1926::SB2,2641 JN,1507,1006,3,2,0,0,0,929,82,0,0,0,0,0,1011,135,155,144,81,174,50,64,15,148,40
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Buurt en Zo,1926::SB3,2641 HK,1898,1088,3,3,0,0,0,1008,86,0,0,0,0,0,1094,140,154,138,107,252,58,55,22,114,48
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Gebouw 't Prinsesje,1926::SB4,2641 CB,2115,1345,4,2,0,0,0,1223,128,0,0,0,0,0,1351,222,266,114,133,285,79,45,17,125,59
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Basisschool De Schatkaart,1926::SB5,2641 CA,1833,1140,13,7,3,0,0,1079,84,0,0,3,0,0,1163,132,189,110,97,237,49,82,25,159,60
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Ontmoetingskerk,1926::SB6,2642 RA,1859,1269,4,4,0,0,0,1144,133,0,0,0,0,0,1277,230,178,159,110,230,73,57,22,135,75
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Mariaschool,1926::SB7,2642 CR,1606,925,3,1,0,0,0,840,89,0,0,0,0,0,929,138,121,116,64,207,28,42,28,119,62
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Wijkcentrum Tolhek,1926::SB8,2642 JK,2789,1301,6,5,0,0,0,1156,156,0,0,0,0,0,1312,260,158,171,108,238,48,75,24,149,70
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Buurtcentrum Het Oude Laarsje,1926::SB10,2641 NS,437,307,1,0,0,0,0,264,44,0,0,0,0,0,308,77,78,28,32,25,20,6,6,25,10
,Pijnacker-Nootdorp,GR2018_PijnackerNootdorp,Gemeenteraad Pijnacker-Nootdorp 2018,1926,Pijnacker-Nootdorp,2018-03-21,Stembureau Meersma Holding BV,1926::SB11,2641 PE,766,349,4,0,0,0,0,320,33,0,0,0,0,0,353,103,69,20,51,47,27,11,6,12,3
