contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Democratisch Zaanstad,Partij voor Ouderen en Veiligheid,ROSA,CDA,GROENLINKS,Zaanstad voor Iedereen,ChristenUnie,Zaanse Inwoners Partij (ZIP),DENK,PVV (Partij voor de Vrijheid),De Volkstem,Partij voor de Dieren
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau De Kernschool,0479::SB101,,2398,861,1,4,0,0,0,788,78,0,0,0,0,0,866,61,98,43,82,29,96,58,33,51,39,38,7,128,55,3,40
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Handboog Schutters Czaar Peter,0479::SB102,,2466,992,4,3,0,0,0,898,101,0,0,0,0,0,999,55,111,90,62,61,90,55,25,72,18,32,17,152,89,7,56
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Wijkgebouw De Poelenburcht,0479::SB103,,3665,1382,11,27,0,0,0,1248,172,0,0,0,0,0,1420,102,173,61,104,27,64,27,24,62,28,27,10,577,47,6,43
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Zaans Natuur en Milieu Centrum,0479::SB105,,1381,657,2,4,0,0,0,576,87,0,0,0,0,0,663,30,84,19,43,29,45,29,20,30,6,19,9,230,37,7,20
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau JerehSalem,0479::SB106,,1978,877,7,3,0,0,2,807,80,0,0,2,0,0,889,49,102,59,73,53,68,22,32,52,5,45,7,249,31,5,25
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau School De Windroos, INGANG PINASSTRAAT",0479::SB107,,1999,869,3,13,0,0,0,777,108,0,0,0,0,0,885,42,109,71,64,22,53,21,34,36,17,21,6,292,58,1,22
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau Evean Oostergouw, HOOFDINGANG",0479::SB108,,1895,966,1,8,0,2,0,894,79,0,2,0,0,0,973,88,110,129,51,52,120,67,75,50,4,47,5,63,72,3,30
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,"Stembureau Evean De Meerpaal, INGANG TJOTTERLAAN",0479::SB109,,1731,993,7,9,0,0,0,911,98,0,0,0,0,0,1009,72,123,118,85,57,90,71,56,59,14,31,5,107,59,2,44
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Evean Het Erasmushuis,0479::SB110,,1861,846,6,3,1,0,0,764,92,0,0,1,0,0,856,83,121,93,58,52,87,42,38,65,12,35,12,77,37,2,32
,Zaanstad,GR2018_Zaanstad,Gemeenteraad Zaanstad 2018,0479,Zaanstad,2018-03-21,Stembureau Dependance Herman Gorterschool,0479::SB111,,1358,695,4,5,0,1,0,645,58,0,1,0,0,0,703,42,66,38,69,64,80,50,15,59,20,18,15,21,88,7,43
