contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Stadsbelang,VVD,Democraten 66 (D66),ChristenUnie-SGP,CDA,GROENLINKS,Gorcum Actief,JEZUS LEEFT,DemocratenGorinchem
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Stadhuis,0512::SB1,,1398,963,4,5,0,0,0,860,112,0,0,0,0,0,972,61,64,149,149,79,61,93,78,62,2,165
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau De Vijfzinnen (Nieuwe Doelen),0512::SB2,,1350,910,4,3,0,5,0,825,97,0,0,5,0,0,922,68,46,115,105,63,33,75,88,47,3,267
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Huize Steijndeld,0512::SB3,,1257,465,5,3,0,0,0,437,36,0,0,0,0,0,473,43,31,71,60,23,22,33,37,38,1,106
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Buurthuis De Aanlegsteiger,0512::SB4,,1373,807,5,1,0,0,0,740,73,0,0,0,0,0,813,83,66,111,92,66,32,50,82,66,2,157
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Sportpunt Wijdschild A,0512::SB5,,1110,528,2,1,0,1,0,476,56,0,0,1,0,0,532,36,39,117,61,33,62,38,39,24,1,78
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Sportpunt Wijdschild B,0512::SB6,,1050,627,3,0,0,0,0,547,84,1,0,1,0,0,631,48,40,138,56,45,53,51,50,41,1,104
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Oosterbliek,0512::SB7,,1429,1041,3,2,0,1,0,927,120,0,0,1,0,0,1047,55,54,217,118,67,151,88,67,68,2,154
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Tienercollege A,0512::SB8,,943,543,7,1,0,0,0,478,71,0,2,0,2,0,549,36,40,102,72,32,55,55,29,26,3,93
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Tienercollege B,0512::SB9,,1172,546,3,1,0,0,0,483,67,0,0,0,0,0,550,28,45,108,62,37,70,47,29,25,2,93
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,"Stembureau Buurthuis ""West""",0512::SB10,,1657,742,3,0,0,2,0,649,94,0,2,0,0,0,743,77,44,167,61,36,80,65,46,40,3,123
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Dorpshuis De Elzenhof,0512::SB11,,1232,792,0,0,0,0,0,707,85,0,0,0,0,0,792,50,17,117,194,41,77,91,49,33,1,122
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Gemeenschapshuis De Bogerd,0512::SB12,,1092,550,0,0,0,0,0,496,54,0,0,0,0,0,550,52,69,111,45,31,29,34,28,42,3,106
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Lingewijkgebouw,0512::SB13,,1083,438,2,0,0,0,0,396,44,0,0,0,0,0,440,21,47,101,36,34,30,37,19,37,1,75
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Gebouw Leger des Heils,0512::SB14,,1269,624,1,2,0,0,0,548,79,0,0,0,0,0,627,62,52,97,55,48,83,66,27,49,7,78
,Gorinchem,GR2018_Gorinchem,Gemeenteraad Gorinchem 2018,0512,Gorinchem,2018-03-21,Stembureau Schoolgebouw Anne Frank,0512::SB15,,1293,714,8,5,0,0,0,617,110,0,0,0,0,0,727,140,57,114,60,32,117,44,30,30,2,88
