contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,D.M.P. Heusden,Heusden Transparant,Heusden één,CDA,VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Gemeentehuis Drunen,0797::SB1,5151 JH,1233,836,2,4,0,0,0,771,71,0,0,0,0,0,842,188,141,131,86,69,88,20,62,51
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Bolster,0797::SB2,5151 ZK,1268,582,6,6,0,0,0,533,61,0,0,0,0,0,594,145,68,154,63,48,30,12,26,36
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Remise,0797::SB3,5151 BM,1124,839,4,3,0,0,0,764,82,0,0,0,0,0,846,170,138,140,74,68,112,40,50,47
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau D'Oultremontcollege,0797::SB4,5151 VW,1135,449,3,0,0,0,0,409,43,0,0,0,0,0,452,112,72,87,37,41,42,3,15,40
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau D'n Elshof,0797::SB5,5154 AK,1331,834,3,0,0,0,0,752,85,0,0,0,0,0,837,313,122,142,16,46,141,7,27,20
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Hunenhof,0797::SB6,5151 KR,1496,441,2,2,0,0,0,390,55,0,0,0,0,0,445,109,65,55,37,31,52,12,39,41
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Zandley,0797::SB7,5151 HK,1158,782,7,5,0,0,0,733,61,0,0,0,0,0,794,221,110,134,72,82,56,29,42,36
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau De Stulp,0797::SB8,5151 MR,1532,958,6,2,0,1,0,881,86,0,0,1,0,0,967,224,153,160,72,91,93,32,64,69
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Olof Palme,0797::SB9,5152 JB,1756,1062,4,5,0,0,0,973,98,0,0,0,0,0,1071,204,156,230,84,73,93,30,91,101
,Heusden,GR2018_Heusden,Gemeenteraad Heusden 2018,0797,Heusden,2018-03-21,Stembureau Partycentrum Wijnand van Delft,0797::SB10,5152 LZ,1231,395,1,0,0,0,0,366,30,0,0,0,0,0,396,96,44,66,50,36,47,5,20,31
