contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,SP (Socialistische Partij),CDA,OPHaarlem,Actiepartij,ChristenUnie,Trots op Nederland (TROTS),Hart voor Haarlem,Jouw Haarlem
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau het Stadhuis,0392::SB1,,903,1499,9,11,0,12,0,1424,107,0,0,12,0,0,1531,239,204,182,377,67,89,30,114,32,60,51,54
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Janskliniek,0392::SB2,,1738,945,11,3,0,1,1,896,61,0,1,0,0,0,958,121,128,126,206,49,71,21,57,44,28,55,39
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Frans Loenenhofje,0392::SB3,,1833,691,1,3,0,1,0,635,59,0,1,0,0,0,694,103,108,115,150,37,51,18,23,29,23,20,14
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Stadsbibliotheek,0392::SB4,,1632,1281,7,3,0,1,0,1186,104,0,1,0,0,0,1290,190,178,174,342,66,82,33,71,22,37,32,54
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Rosenstock Huessy Huis,0392::SB5,,1970,1072,7,4,0,0,0,999,84,0,0,0,0,0,1083,116,119,175,245,52,43,36,110,15,37,43,81
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Basisschool De Kring,0392::SB6,,1659,825,10,2,0,0,0,751,86,0,0,0,0,0,837,135,117,137,176,28,68,9,40,19,35,40,21
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Oud-Katholieke Kerk H.H. Anna en Maria,0392::SB7,,1613,957,3,1,0,3,0,871,93,0,0,3,0,0,964,136,138,180,201,28,75,34,61,24,30,26,24
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Activiteitencentrum Het Zaeltje van Rosehaghe,0392::SB8,,1103,720,0,0,0,0,0,649,71,0,0,0,0,0,720,85,98,85,161,64,50,33,38,16,35,16,39
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Speeltuin Klarenhof,0392::SB9,,2071,961,6,4,0,1,0,911,59,0,1,0,0,0,970,90,111,133,201,66,61,51,55,11,72,25,85
,Haarlem,GR2018_Haarlem,Gemeenteraad Haarlem 2018,0392,Haarlem,2018-03-21,Stembureau Badhuis Leidseplein,0392::SB10,,1772,988,1,11,0,0,0,917,83,0,0,0,0,0,1000,99,108,151,261,80,56,28,62,8,38,19,78
