contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SP (Socialistische Partij),OPH (Ouderen Partij Heerlen),CDA,Hart-Leers,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),Stadspartij,Partij Hoensbroeks Belang,GROENLINKS,11,Partij voor de Dieren
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Stadhuis ingang Raadhuisplein,0917::SB1,,2158,1483,10,0,0,0,0,1350,146,3,0,3,0,0,1496,309,283,107,189,87,159,136,44,4,72,5,88
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Zorgcentrum Douvenrade,0917::SB2,,1021,500,0,3,0,4,0,446,61,0,0,4,0,0,507,65,146,72,73,16,41,26,8,3,23,3,24
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Trefcentrum 't Loon,0917::SB4,,2171,808,7,3,1,0,0,734,85,0,0,1,0,0,819,288,168,67,66,34,28,53,19,1,35,4,45
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau St. De TWEE gezusters,0917::SB6,,1567,897,4,2,0,0,0,831,72,0,0,0,0,0,903,179,268,66,87,48,70,51,13,3,62,0,50
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Grotiuscollege,0917::SB7,,1703,970,7,3,0,0,0,877,103,0,0,0,0,0,980,149,156,55,95,56,172,164,6,2,74,2,39
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Basisschool St. Tarcisius,0917::SB10,,1629,923,8,4,0,0,0,871,64,0,0,0,0,0,935,209,149,25,91,70,73,175,10,1,56,5,59
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau MEE Zuid-Limburg,0917::SB11,,959,704,0,0,0,0,0,615,88,0,1,0,0,0,703,80,203,65,81,41,86,71,11,0,30,16,20
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Zorgcentrum St. Anna,0917::SB12,,1891,1145,6,4,0,0,0,1036,119,0,0,0,0,0,1155,191,367,87,99,42,118,108,23,0,53,5,52
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Verpleeghuis Plataan,0917::SB14,,365,116,3,0,0,0,0,104,16,0,0,1,0,0,120,22,24,15,3,10,18,12,0,1,4,0,7
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Wijkgebouw Peter Schunck,0917::SB15,,1036,409,3,0,0,0,0,387,25,0,0,0,0,0,412,111,146,25,19,18,17,17,9,0,24,0,23
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Zorgcentrum Oranjehof,0917::SB16,,1048,452,4,5,0,0,0,414,47,0,0,0,0,0,461,119,139,46,38,22,22,28,6,2,13,1,16
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Gemeenschapshuis Caumerbron,0917::SB17,,1959,1170,11,3,0,0,0,1066,118,0,0,0,0,0,1184,334,320,102,65,34,63,62,29,4,64,2,91
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Vitalis Parc Imstenrade,0917::SB18,,1854,843,7,1,7,0,0,767,91,0,0,7,0,0,858,94,273,91,57,27,135,85,12,2,24,1,42
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau A GENE BEK,0917::SB19,,1767,805,5,3,0,0,0,729,84,0,0,0,0,0,813,165,216,42,56,47,68,106,15,1,42,0,47
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau BMV Molenberg,0917::SB22,,2237,982,2,3,2,0,0,882,107,0,0,2,0,0,989,281,161,49,156,26,79,101,9,1,48,1,70
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Verpleeghuis Bergweide,0917::SB23,,906,323,3,1,0,0,0,281,45,0,1,0,0,0,326,72,37,46,71,3,22,24,3,4,23,0,18
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Zalencentrum 't Leiehoes,0917::SB26,,3100,1109,11,7,0,0,0,987,139,0,1,0,0,0,1126,411,146,69,131,44,76,81,32,8,52,3,56
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Scouting St. Jan Baptist,0917::SB27,,1200,398,0,0,0,0,0,361,37,0,0,0,0,0,398,200,54,27,21,20,10,15,8,0,17,1,25
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Zorgcentrum De Regenboog,0917::SB29,,944,418,5,2,0,0,1,392,32,0,0,0,0,0,425,137,63,83,43,10,15,18,5,0,13,0,31
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Gemeenschapshuis 't Juphuis,0917::SB30,,2090,746,4,2,0,1,0,674,79,0,0,1,0,0,753,280,113,52,60,25,28,63,33,13,30,1,48
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Cultuurhuis Heerlen,0917::SB32,,1881,776,8,2,0,0,0,712,74,0,0,0,0,0,786,311,149,43,60,34,39,52,25,1,30,0,32
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Basisschool Frans Postma,0917::SB33,,1480,610,2,1,0,1,0,537,77,0,0,1,0,0,614,153,116,92,47,17,46,23,56,3,19,0,38
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Ouderencentrum Hooghendael,0917::SB34,,1131,471,3,0,0,0,0,425,49,0,0,0,0,0,474,87,49,155,23,9,8,23,97,3,6,2,9
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Zorgcentrum Ter Eyck,0917::SB35,,2249,1129,2,7,0,4,0,1142,0,0,0,4,0,0,1142,249,136,366,59,19,28,51,148,6,29,10,28
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Basisschool Windekind,0917::SB36,,2109,1346,19,2,0,8,0,1225,150,0,0,8,0,0,1375,257,293,86,115,84,192,168,15,1,56,1,78
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Sporthal Varenbeuk,0917::SB37,,1787,498,1,3,0,2,0,440,64,0,0,2,0,0,504,166,56,74,35,20,22,11,54,10,25,5,20
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Buurtcentrum 't Heitje,0917::SB39,,2516,772,9,2,0,0,0,675,108,0,0,0,0,0,783,237,81,101,64,31,19,23,123,1,25,6,61
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Gemeenschapshuis Heksenberg,0917::SB42,,2169,995,7,6,0,6,0,881,133,0,0,6,0,0,1014,248,72,232,54,28,35,43,186,8,30,7,52
,Heerlen,GR2018_Heerlen,Gemeenteraad Heerlen 2018,0917,Heerlen,2018-03-21,Stembureau Ouderencentrum Vogelsanck,0917::SB43,,1248,321,1,0,0,0,0,295,27,0,0,0,0,0,322,98,48,63,9,7,13,4,50,8,5,6,10
