contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeente Belangen Voorst,VVD-Liberaal 2000,CDA,PvdA-GROENLINKS,Democraten 66 (D66),6,Staatkundig Gereformeerde Partij (SGP)
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Gemeentehuis,0285::SB1,7391 KA,1103,1150,4,6,0,0,0,1045,115,0,0,0,0,0,1160,393,300,124,137,96,66,34
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Dorpshuis Voorst,0285::SB2,7383 CG,869,481,2,0,0,0,0,455,28,0,0,0,0,0,483,228,73,57,68,29,16,10
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau 'De Benring',0285::SB3,7383 XC,1113,637,6,2,0,0,0,588,57,0,0,0,0,0,645,325,93,69,94,26,18,12
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Multifunctioneel Centrum 'De Pauw',0285::SB4,7382 CC,1063,658,0,0,0,3,1,586,74,0,0,3,0,0,661,266,81,181,71,36,17,6
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Openb basisschool Wilp-Achterhoek,0285::SB6,7384 DE,732,460,3,2,0,0,0,420,45,0,0,0,0,0,465,179,105,90,23,29,15,19
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau 'Bethel',0285::SB7,7384 CS,992,403,0,1,0,0,0,381,23,0,0,0,0,0,404,188,87,42,42,21,18,5
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Dorpshuis 'de Pompe',0285::SB8,7384 BD,914,571,1,1,0,0,0,532,41,0,0,0,0,0,573,326,89,47,51,28,16,14
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,"Stembureau Schoolgebouw 'Wilpse Dijk',",0285::SB9,7391 JM,1159,538,3,0,0,0,0,502,39,0,0,0,0,0,541,174,89,47,101,51,72,4
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Bibliotheek,0285::SB10,7391 DH,1409,819,6,1,0,0,0,789,37,0,0,0,0,0,826,354,128,104,87,58,64,24
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Martinusschool,0285::SB11,7391 AN,1045,673,5,0,0,0,0,627,51,0,0,0,0,0,678,204,111,102,137,56,53,10
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Dorpshuis 'op den Toega',0285::SB12,7395 PB,973,550,1,2,0,0,0,491,62,0,0,0,0,0,553,187,122,76,43,34,20,68
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Multifunctionele accommodatie Terwolde,0285::SB13,7396 NA,1469,884,1,0,0,0,0,799,86,0,0,0,0,0,885,315,240,75,161,49,23,21
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Dorpshuis 'de Arend',0285::SB14,7397 NH,633,404,0,1,0,0,0,362,43,0,0,0,0,0,405,86,88,88,32,15,9,86
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Notariskantoor,0285::SB15,7391 EN,1115,680,0,0,0,0,0,616,64,0,0,0,0,0,680,227,168,66,82,72,48,17
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Restaurant 'Korderijnk',0285::SB16,7391 EH,1444,826,7,1,0,0,0,772,62,0,0,0,0,0,834,371,144,108,87,49,49,18
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Kulturhus 'Jachtlust',0285::SB17,7391 BW,990,732,5,0,0,0,0,676,58,0,3,0,3,0,734,310,95,88,111,36,64,28
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Martinushof,0285::SB18,7391 AG,1313,762,0,3,0,0,0,718,47,0,0,0,0,0,765,320,141,97,86,54,50,14
,Voorst,GR2018_Voorst,Gemeenteraad Voorst 2018,0285,Voorst,2018-03-21,Stembureau Verenigingsgebouw Lawa Mena,0285::SB19,7391 KG,1059,498,1,1,0,0,0,463,37,0,0,0,0,0,500,242,71,33,56,45,32,19
