contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,F.D. Dreumel,SP (Socialistische Partij),CDA,Sociaal Maas en Waal,F.D. Maasdorpen,FD Partij Beneden-Leeuwen,F.D. Boven-Leeuwen,F.D. Wamel
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Alphen,0668::SB1,6626 AC,1353,833,5,6,0,0,0,734,110,0,0,0,0,0,844,195,8,107,33,54,417,4,11,4
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Altforst,0668::SB2,6628 AC,424,279,1,0,0,0,0,245,35,0,0,0,0,0,280,52,1,23,110,19,62,3,8,1
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Appeltern,0668::SB3,6629 AR,693,416,2,3,0,0,0,369,52,0,0,0,0,0,421,97,0,69,102,22,119,3,4,0
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Beneden-Leeuwen,0668::SB4,6658 WX,2034,1130,4,2,0,0,0,996,140,0,0,0,0,0,1136,254,14,102,99,76,12,545,8,20
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Beneden-Leeuwen,0668::SB5,6658 AG,1547,1261,4,1,0,0,0,1098,168,0,0,0,0,0,1266,276,15,120,68,84,16,655,6,21
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Beneden-Leeuwen,0668::SB6,6658 XN,1764,937,5,3,0,0,0,831,114,0,0,0,0,0,945,146,16,115,64,76,5,485,17,13
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Boven-Leeuwen,0668::SB7,6657 CB,1720,1108,0,2,0,0,0,961,149,0,0,0,0,0,1110,123,12,120,65,114,8,42,623,1
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Dreumel,0668::SB8,6621 KV,1242,891,1,4,0,0,0,783,113,0,0,0,0,0,896,63,692,31,27,55,10,4,1,8
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Dreumel,0668::SB9,6621 AN,1518,1060,2,3,0,0,0,906,159,0,0,0,0,0,1065,139,721,44,56,74,11,3,5,7
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Maasbommel,0668::SB10,6627 AG,1111,670,0,2,0,0,0,589,83,0,0,0,0,0,672,128,18,58,68,55,333,6,0,4
,West Maas en Waal,GR2018_WestMaasenWaal,Gemeenteraad West Maas en Waal 2018,0668,West Maas en Waal,2018-03-21,Stembureau Wamel,0668::SB11,6659 BN,1945,1279,3,2,0,0,0,1099,185,0,0,0,0,0,1284,128,17,175,61,104,15,30,12,737
