contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Onafhankelijk Moerdijk,CDA,VVD,SP (Socialistische Partij),Burger Belangen Moerdijk,Partij van de Arbeid (P.v.d.A.),ChristenUnie,Democraten 66 (D66),Moerdijk Lokaal
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau De Westhoek,1709::SB1,4761 AJ,1146,548,4,4,0,0,0,499,56,0,1,0,1,0,555,120,82,157,27,28,49,27,22,36
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau De Zeven Schakels,1709::SB2,4761 BN,1189,628,4,0,0,2,0,565,69,0,0,2,0,0,634,206,85,107,41,17,59,29,28,56
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau Kruisgebouw,1709::SB3,4761 KC,1410,505,6,2,0,0,0,462,49,0,2,0,2,0,511,197,43,47,57,32,40,21,10,58
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau Pluspunt Serena,1709::SB4,4761 TW,1729,946,6,4,0,0,0,877,80,0,0,1,0,1,957,292,74,164,82,50,106,46,40,92
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau Openbare Basisschool De Boemerang,1709::SB5,4761 SB,1554,642,7,1,0,0,0,594,56,0,0,0,0,0,650,187,52,132,51,38,56,29,39,58
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau Sportgezondheidscentrum Zevenbergen,1709::SB6,4761 KN,1572,566,2,6,0,0,0,515,59,0,0,0,0,0,574,207,43,78,45,36,53,12,26,66
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau Sportplaza Moerdijk De Kristal,1709::SB7,4761 ZC,1621,1016,12,2,0,0,0,918,112,0,0,0,0,0,1030,285,91,289,57,24,94,34,60,82
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau Stationsrestauratie Happy Dees,1709::SB8,4761 BG,1298,946,2,3,0,0,0,863,88,0,0,0,0,0,951,234,120,260,58,32,74,30,44,94
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau Ons Stedeke,1709::SB9,4772 RA,727,337,4,0,0,0,0,321,20,0,0,0,0,0,341,93,65,67,15,19,32,10,19,17
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau De Zevensprong,1709::SB10,4765 CP,1287,579,1,1,0,0,0,509,72,0,0,0,0,0,581,263,40,94,33,15,22,26,10,76
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau Mauritshof,1709::SB11,4791 JR,1554,853,4,2,0,0,0,785,74,0,0,0,0,0,859,83,198,89,54,11,44,176,18,180
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau De Niervaert,1709::SB12,4791 GB,1518,641,2,4,0,0,0,582,65,0,0,0,0,0,647,75,130,50,43,16,66,89,26,146
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau De Stad Klundert,1709::SB13,4791 HL,1566,885,6,3,0,0,0,817,77,0,0,0,0,0,894,70,173,120,29,14,86,135,46,212
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau De Ankerkuil,1709::SB14,4781 AP,903,384,2,0,0,0,0,359,27,0,0,0,0,0,386,114,19,34,15,59,15,5,5,118
,Moerdijk,GR2018_Moerdijk,Gemeenteraad Moerdijk 2018,1709,Moerdijk,2018-03-21,Stembureau GSch.huis Noordhoek,1709::SB15,4759 BD,884,481,1,0,0,0,0,434,48,0,0,0,0,0,482,276,26,89,16,9,11,8,13,33
