contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Sterk Meppel (SteM),VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),SP (Socialistische Partij),ChristenUnie,GROENLINKS
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Stadhuis,0119::SB1,7941BJ,1595,1206,3,7,0,0,0,1128,88,0,0,0,0,0,1216,306,240,150,136,67,128,114,65
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Cultureel Centrum de Plataan (Huiskamer),0119::SB2,7941 KP,1052,652,4,2,0,1,0,615,42,0,1,0,0,0,657,156,148,63,94,30,74,51,36
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Oosterboerschool,0119::SB3,7943 CV,1296,687,3,1,0,0,0,627,64,0,0,0,0,0,691,183,121,62,86,44,47,85,59
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau School de Toermalijn,0119::SB4,7941 JC,1125,609,1,2,0,0,0,572,40,0,0,0,0,0,612,149,151,30,61,71,49,32,66
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Woonzorgcentrum Meeuwenborgh,0119::SB5,7943 BA,571,282,4,0,0,0,0,268,18,0,0,0,0,0,286,91,30,25,21,11,45,31,28
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Woon-zorgcentrum Irene,0119::SB6,7941ES,1193,691,3,0,0,1,0,642,53,0,0,1,0,0,695,155,176,47,110,74,29,54,46
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Brandweerkazerne,0119::SB7,7942 HB,1352,708,2,2,0,0,0,649,63,0,0,0,0,0,712,183,138,72,83,28,80,72,52
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Anne Frankschool,0119::SB8,7943 CV,1518,943,7,0,0,0,0,886,64,0,0,0,0,0,950,234,186,61,163,56,61,103,79
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Beatrixschool,0119::SB9,7942 EA,1406,509,3,1,0,0,0,475,38,0,0,0,0,0,513,115,48,81,51,18,93,68,35
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau School De Woldstroom,0119::SB10,7942AH,1550,738,6,6,0,0,0,708,42,0,0,0,0,0,750,199,95,93,68,44,107,87,45
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Clubhuis Blue Devils,0119::SB11,7944PA,1966,1230,2,2,0,0,0,1104,130,0,0,0,0,0,1234,207,377,60,177,119,45,183,62
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Woon-zorgcentrum Reestoord,0119::SB12,7944EJ,1085,538,1,3,0,0,0,501,42,1,0,1,0,0,543,151,93,69,64,34,60,53,14
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Het Anker (voormalig wzc A.B.C.),0119::SB13,7944 BB,1376,739,0,2,0,1,0,681,59,0,1,0,0,0,740,165,159,50,172,25,44,90,34
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau MFK Het Palet,0119::SB14,7944 EE,1468,735,1,1,0,2,0,680,59,0,0,2,0,0,739,180,114,67,92,49,94,85,54
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Wijkservicepunt De Koeberg,0119::SB16,7944 GC,1450,1047,6,3,0,1,0,988,69,0,0,1,0,0,1057,290,152,95,132,46,157,105,70
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Wijkcentrum Oosterboer,0119::SB17,7943HJ,1477,1005,3,0,0,0,0,932,76,0,0,0,0,0,1008,266,175,73,188,85,72,111,35
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Het Erf (H. van Boeijen),0119::SB18,7943TA,1447,1102,4,2,0,0,0,1014,94,0,0,0,0,0,1108,252,255,60,174,111,61,105,84
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Verpleeghuis Reggersoord,0119::SB19,7943KC,371,192,0,1,0,0,0,193,0,0,0,0,0,0,193,41,56,15,28,11,9,12,20
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Mobiel Stembureau,0119::SB20,,0,230,2,2,0,0,0,220,14,0,0,0,0,0,234,61,39,14,32,22,21,19,22
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Woon-zorgcentrum Het Kerspel,0119::SB21,7948BK,1430,926,2,2,0,0,0,854,78,2,0,2,0,0,932,198,170,36,354,62,37,46,23
,Meppel,GR2018_Meppel,Gemeenteraad Meppel 2018,0119,Meppel,2018-03-21,Stembureau Dorpshuis De Schalle,0119::SB22,7948 AA,1449,929,3,2,0,0,0,856,78,0,0,0,0,0,934,173,140,43,383,48,51,69,22
