contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie,CDA,SP (Socialistische Partij),GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Gouda's 50+ partij,Partij voor de Dieren,Gemeentebelangen Gouda,JEZUS LEEFT,Gouda Positief
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Agnietenkapel,0513::SB101,,1319,1738,10,5,0,0,0,1650,104,1,0,1,0,0,1754,299,182,201,126,129,94,221,49,90,122,50,6,169
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Gymzaal Herpstraat,0513::SB102,,2085,990,2,0,0,0,0,912,80,0,0,0,0,0,992,154,115,135,70,58,53,136,30,39,51,36,3,110
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Zorgcentrum Gouwestein,0513::SB104,,1523,813,2,1,0,0,0,714,101,0,1,0,1,0,815,96,67,92,100,91,20,66,141,28,19,19,1,73
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Buurthuis De Speelwinkel,0513::SB105,,1648,869,4,4,0,0,0,826,51,0,0,0,0,0,877,146,106,107,46,28,36,146,23,34,47,34,1,115
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Wijkcentrum Jan Ligthart,0513::SB201,,2301,788,4,3,0,0,0,691,104,0,0,0,0,0,795,74,144,42,78,46,57,53,37,46,40,37,4,130
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau RK Basisschool de Goudakker,0513::SB204,,1926,859,4,1,0,0,0,753,112,0,0,1,0,0,865,61,107,56,104,62,66,73,58,98,43,46,6,79
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Gymzaal Korte Akkeren,0513::SB206,,1743,647,1,1,0,1,0,599,52,1,0,2,0,0,651,78,68,56,48,49,50,37,40,67,29,44,3,78
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Basisschool De Kas,0513::SB207,,1472,699,3,4,0,1,0,620,87,0,0,1,0,0,707,59,65,55,58,51,52,55,50,74,38,42,2,98
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Ronssehof Revalidatiecentrum,0513::SB301,,1466,878,8,2,0,2,0,834,56,0,0,2,0,0,890,86,81,86,102,117,33,37,44,93,28,91,2,78
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Gymzaal Columbuslaan,0513::SB302,,1882,1098,0,2,0,0,0,963,137,0,0,0,0,0,1100,102,128,102,154,142,34,88,123,57,40,50,2,76
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Groenhovenbad,0513::SB303,,2033,1209,3,3,0,0,0,1094,121,0,0,0,0,0,1215,163,97,174,141,128,38,102,81,55,53,62,4,111
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Gymnastiekzaal Coniferensingel,0513::SB304,,1742,1009,1,3,0,0,0,936,78,0,0,1,0,1,1014,114,103,78,92,129,66,83,41,113,36,42,3,109
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Huis van de Stad,0513::SB305,,731,1206,5,2,0,0,0,1126,87,0,0,0,0,0,1213,201,99,118,145,99,38,156,129,60,53,36,3,69
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Groene Hart Ziekenhuis (hoofdingang),0513::SB306,,580,548,1,2,0,0,0,512,39,0,0,0,0,0,551,50,61,54,67,68,14,47,47,54,13,26,1,46
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Dienstencentrum Prinsenhof,0513::SB403,,2107,1043,6,1,0,0,0,973,77,0,0,0,0,0,1050,99,86,97,135,152,33,105,68,116,31,56,7,58
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Basisschool het Vlot (Schateiland),0513::SB405,,1953,1030,3,3,0,1,0,941,94,0,1,0,0,0,1035,121,132,108,76,110,66,112,13,91,53,50,0,98
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Basisschool De Cirkel,0513::SB406,,1782,802,4,2,0,1,0,718,89,0,1,0,0,0,807,79,78,63,75,75,65,64,40,112,34,36,6,75
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Gereformeerde kerk vrijgemaakt,0513::SB407,,1974,1483,3,5,0,3,0,1357,137,0,0,3,0,0,1494,142,133,110,197,180,84,146,69,148,64,82,2,126
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Sportzaal Aakwerf,0513::SB408,,1978,1235,2,0,0,0,0,1235,2,0,0,0,0,0,1237,161,120,203,115,142,57,112,49,78,39,52,4,103
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Wijkcentrum De Bühne,0513::SB501,,1664,706,6,2,0,2,0,638,74,0,2,0,0,0,712,57,74,68,74,61,42,64,102,50,23,33,1,57
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Zorgcentrum Savelberg,0513::SB503,,2170,1132,3,1,0,0,0,1031,105,0,0,0,0,0,1136,135,93,129,117,127,38,128,120,78,32,61,0,74
,Gouda,GR2018_Gouda,Gemeenteraad Gouda 2018,0513,Gouda,2018-03-21,Stembureau Weth. H. Luidensschool,0513::SB504,,1799,1178,3,5,0,0,2,1123,61,0,0,0,0,0,1186,107,109,124,144,129,39,102,69,117,40,79,1,118
