contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),Inwonerspartij Toekomst Houten,VVD,CDA,Partij van de Arbeid (P.v.d.A.),GROENLINKS,Houten Anders! (HA!),ChristenUnie,Staatkundig Gereformeerde Partij (SGP)
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau Gemeentehuis,0321::SB1,3995 DW,2126,1760,4,8,0,2,0,1611,163,0,0,2,0,0,1774,202,282,164,239,193,350,121,131,78
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau RKBS Van Harte School,0321::SB2,3991 AA,1062,1028,3,1,0,0,0,930,102,0,0,0,0,0,1032,84,172,152,241,72,131,65,37,74
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau Het Oude Station Houten,0321::SB3,3991 KX,1559,928,3,1,0,1,0,850,83,0,0,1,0,0,933,96,134,129,170,69,158,35,82,55
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau Wereldhuis,0321::SB4,3991 VJ,1411,815,3,2,0,0,0,743,77,0,0,0,0,0,820,72,178,83,132,38,154,41,62,55
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau OBS De Bijenkorf,0321::SB5,3992 BK,1781,857,2,2,0,0,0,861,0,0,0,0,0,0,861,91,129,92,133,64,186,46,67,49
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau PCBS Wereldwijs,0321::SB6,3991 WE,2364,1422,2,4,0,3,0,1260,171,0,0,3,0,0,1431,152,209,163,225,123,212,81,148,109
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau RKBS De Zevensprong,0321::SB7,3992 RD,2246,1708,6,2,0,2,0,1525,189,0,2,0,0,0,1714,239,243,191,274,113,313,115,140,80
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau Sociaal Cultureel Centrum De Meerkoet,0321::SB8,3993 EB,2043,1008,4,3,0,3,0,940,72,0,3,0,0,0,1012,103,185,79,138,71,221,65,89,57
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau OBS Klavertje Vier,0321::SB9,3993 GE,1874,1065,3,4,0,1,0,958,115,0,0,1,0,0,1073,143,230,58,136,91,193,64,102,48
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau PCBS Het Mozaïek Houten,0321::SB10,3994 BM,1682,1011,3,1,0,0,0,927,88,0,0,0,0,0,1015,93,162,91,170,86,206,52,105,46
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau OBS De Brug,0321::SB11,3994 EK,1248,971,1,2,0,5,0,885,94,0,0,5,0,0,979,139,145,117,157,96,178,45,74,20
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau Sociaal Cultureel Centrum De Ploeg,0321::SB12,3997 MH,486,345,2,0,0,0,0,304,43,0,0,0,0,0,347,15,37,63,112,8,32,6,9,63
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau Sociaal Cultureel Centrum De Wiese,0321::SB13,3998 MD,1378,957,2,2,0,1,0,858,102,0,1,0,0,0,960,64,60,161,439,32,80,21,19,81
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau Sociaal Cultureel Centrum 't Gebouw,0321::SB14,3999 NK,729,436,1,1,0,1,0,376,61,0,1,0,0,0,437,19,64,31,89,13,35,9,25,151
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau RKBS De Vlinder,0321::SB15,3994 PB,2317,1548,4,7,0,6,0,1337,216,0,6,0,0,0,1553,212,183,297,281,67,231,97,111,69
,Houten,GR2018_Houten,Gemeenteraad Houten 2018,0321,Houten,2018-03-21,Stembureau Woonzorgcomplex De Loericker Stee,0321::SB16,3994 VT,2390,1316,5,4,0,2,0,1183,140,0,2,0,0,0,1323,168,187,188,223,98,186,76,118,72
