contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burgerbelangen,Ons Kerkrade,Partij van de Arbeid (P.v.d.A.),CDA,SP (Socialistische Partij),Lokaal Alternatief,VVD,Ouderenpartij Kerkrade,GROENLINKS,K.O.E.,Democraten 66 (D66)
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Raadhuis,0928::SB1,6461 EB,1698,1288,6,11,0,0,0,1160,145,0,0,0,0,0,1305,333,56,203,198,87,183,105,61,38,0,24
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Zorgcentrum Kapelhof,0928::SB2,6461 EH,1030,472,2,6,0,0,0,424,56,0,0,0,0,0,480,88,37,69,80,34,58,35,42,17,0,12
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Basisschool De Diabolo,0928::SB3,6461 EX,1362,630,3,1,0,0,0,573,61,0,0,0,0,0,634,202,37,72,68,57,78,51,32,15,2,16
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Basisschool De Schatkist,0928::SB4,6462 HC,1784,623,7,5,0,0,0,570,65,0,0,0,0,0,635,212,67,82,43,78,46,22,41,23,0,9
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Zorgcentrum Vroenhof,0928::SB5,6462 VA,1473,468,1,3,0,0,0,426,46,0,0,0,0,0,472,153,63,53,56,28,43,21,28,14,2,7
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Café Ackens,0928::SB6,6462 CS,995,365,0,2,0,0,0,319,48,0,0,0,0,0,367,122,31,50,26,45,43,19,14,7,1,7
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Café Ejen Bouwerweij,0928::SB7,6462 CP,1500,617,3,1,0,0,0,552,69,0,0,0,0,0,621,248,52,74,32,70,48,12,44,25,2,10
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Catharinahoes,0928::SB8,6461 JK,1760,930,4,3,0,0,0,836,101,0,0,0,0,0,937,241,101,109,101,84,145,54,39,25,7,24
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Basisschool St. Ursula,0928::SB9,6461 BS,1169,690,2,3,0,0,0,619,76,0,0,0,0,0,695,169,106,63,52,72,72,87,21,22,4,22
,Kerkrade,GR2018_Kerkrade,Gemeenteraad Kerkrade 2018,0928,Kerkrade,2018-03-21,Stembureau Brede School de Steltloper,0928::SB10,6463 VZ,861,482,1,2,0,0,0,423,62,0,0,0,0,0,485,174,52,98,19,61,26,5,20,15,1,11
