contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Belang,VVD,CDA,Democraten 66 (D66),Valkenburgse Senioren Partij (VSP),PGP (Progressieve Groene Partij)
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Stadhuis Park Dersaborg,0994::SB1,6301 HC,1419,939,7,3,0,0,0,830,119,0,0,0,0,0,949,165,181,176,47,201,169
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau De Polfermolen,0994::SB2,6301 GM,1207,614,3,2,0,0,0,544,75,0,0,0,0,0,619,92,204,118,27,86,87
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Zorgcentrum Oosterbeemd,0994::SB3,6301 ZZ,1368,807,13,0,0,0,0,717,103,0,0,0,0,0,820,152,188,188,33,167,79
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Hotel Op de Boud,0994::SB4,6301 XX,1442,721,8,4,0,0,0,617,116,0,0,0,0,0,733,129,119,181,25,174,93
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Gemeenschapshuis De Beemde,0994::SB5,6301 WJ,1197,731,5,1,0,0,0,667,70,0,0,0,0,0,737,107,98,143,22,256,105
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Gemeenschapshuis De Blokhut,0994::SB6,6301 AT,1064,691,9,6,0,0,0,615,92,1,0,1,0,0,707,170,64,226,23,76,132
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau De Holle Eik,0994::SB7,6301 JZ,1237,718,6,5,0,0,0,641,88,0,0,0,0,0,729,229,92,154,29,80,134
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Gemeenschapshuis 't Geboew,0994::SB8,6305 AZ,1421,918,6,8,0,0,0,846,86,0,0,0,0,0,932,252,93,258,24,117,174
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Gemeenschapshuis 't Voske,0994::SB9,6325 EC,1835,1262,10,2,0,1,0,1121,154,0,0,1,0,0,1275,751,56,224,55,74,102
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Zorgcentrum Fonterhof,0994::SB10,6325 BR,1020,655,5,4,0,0,0,577,86,0,1,0,1,0,663,406,42,88,20,43,56
,Valkenburg aan de Geul,GR2018_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2018,0994,Valkenburg aan de Geul,2018-03-21,Stembureau Gemeenschapshuis Cascade Vilt,0994::SB11,6325 AX,717,434,3,0,0,0,0,391,46,0,0,0,0,0,437,214,33,45,19,37,86
