contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GEMEENTE BELANGEN TWENTERAND,CDA,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),P.v.d.A.-GROENLINKS,VVD,Democraten 66 (D66),PVV (Partij voor de Vrijheid)
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau De Vriezenhof,1700::SB1,7671 GM,1186,781,4,5,0,2,0,727,65,0,0,2,0,0,792,163,213,141,112,50,41,19,42
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,"Stembureau CBS Rehoboth, Buitenlandweg 1",1700::SB2,7671 RK,859,565,0,0,0,2,0,507,60,0,0,2,0,0,567,132,138,69,123,17,48,17,21
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,"Stembureau Westerkerk, Kanaalweg Z",1700::SB3,7671 GD,1483,883,2,3,0,1,0,810,77,0,1,0,0,0,887,211,187,143,145,35,84,14,64
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau Mobiel Stembureau,1700::SB6,7671 GS,0,47,1,0,0,0,0,43,5,0,0,0,0,0,48,15,15,3,2,2,6,4,0
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau Hervormd Centrum Hoofdweg,1700::SB7,7676 AK,916,712,0,1,0,1,0,651,63,0,0,1,0,0,714,457,47,62,34,30,17,5,60
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau NH Kerk Oude Hoevenweg 40,1700::SB8,7671 PJ,574,326,0,0,0,0,0,288,38,0,0,0,0,0,326,84,101,40,25,17,27,5,27
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau Basisschool Eltheto,1700::SB9,7671 GG,654,423,1,0,0,0,0,396,28,0,0,0,0,0,424,124,92,75,59,28,20,15,10
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau De Weemelanden,1700::SB10,7672 GD,1200,803,1,0,0,3,0,734,73,0,0,3,0,0,807,219,185,127,77,36,93,33,33
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau Baptistenkerk,1700::SB11,7676 AC,1256,637,2,2,0,0,0,572,69,0,0,0,0,0,641,348,56,40,59,36,37,5,56
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau Gemeentehuis Vriezenveen,1700::SB12,7671 GS,1118,885,0,2,0,1,0,823,65,0,0,1,0,0,888,231,227,116,109,49,82,28,43
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau Verzorgingscentrum 't Haarhuus,1700::SB13,7676 GA,1432,390,0,2,0,1,0,354,39,0,0,1,0,0,393,252,24,32,7,21,2,4,48
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau CBS De Regenboog,1700::SB14,7671 ZX,927,616,1,1,0,0,0,564,54,0,0,0,0,0,618,163,167,74,52,39,63,34,24
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau RK BS Antonius,1700::SB15,7671 VW,958,742,0,1,0,0,0,685,58,0,0,0,0,0,743,197,228,99,32,60,72,31,23
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau Chr.BS Shalom,1700::SB16,7671 ND,1637,1067,3,2,0,0,0,988,84,0,0,0,0,0,1072,383,241,139,68,45,102,37,52
,Twenterand,GR2018_Twenterand,Gemeenteraad Twenterand 2018,1700,Twenterand,2018-03-21,Stembureau Hervormd Centrum De Rank,1700::SB17,7683 BN,961,729,4,1,0,1,0,670,65,0,0,1,0,0,735,426,103,115,10,18,19,9,29
