contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kernachtig Wijchen,CDA,Democraten 66 (D66),VVD,Partij van de Arbeid (P.v.d.A.),Sociaal Wijchen,Wijchen Lokaal,Gewoon Wijchen
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Huis van de gemeente,0296::SB1,6602 DB,1841,1512,12,5,0,1,0,1393,137,0,0,1,0,0,1530,588,310,88,249,113,69,79,16
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Meander,0296::SB2,6601 AR,1672,733,0,4,0,2,0,675,64,0,0,2,0,0,739,282,121,48,63,90,55,66,8
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Jeugdhuis Woezik,0296::SB3,6604 CC,1954,1248,2,1,0,4,0,1122,125,0,4,0,0,0,1247,514,158,88,191,111,39,135,12
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Paschalisschool,0296::SB4,6604 AE,1922,865,1,5,0,0,0,796,75,0,0,0,0,0,871,353,83,61,148,71,32,105,12
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau La Verna,0296::SB5,6603 AM,756,507,4,3,0,4,0,449,69,0,0,4,0,0,518,168,146,31,46,38,17,58,3
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Dorpshuis De Waaijershof,0296::SB6,6606 AB,343,292,1,0,0,0,0,260,33,0,0,0,0,0,293,113,48,6,97,14,8,6,0
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Wijkgebouw Wijchen Oost,0296::SB7,6603 AE,1903,1013,4,3,0,0,0,897,123,0,0,0,0,0,1020,491,105,55,94,97,77,72,22
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Brede school Noorderlicht,0296::SB8,6601 DL,1866,1088,3,1,0,2,0,1007,83,0,2,0,0,0,1090,468,113,45,90,113,68,138,53
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Wijkgebouw Wijchen Zuid,0296::SB9,6605 HN,1897,956,7,3,0,1,0,865,100,0,1,0,0,0,965,380,88,67,104,132,92,85,8
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Wijkcentrum Achterom,0296::SB10,6601 XW,1159,648,3,5,0,0,0,608,48,0,0,0,0,0,656,248,74,43,45,80,76,69,13
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Wijkgebouw Wijchen West,0296::SB11,6602 WT,1805,1331,6,3,0,0,0,1212,128,0,0,0,0,0,1340,493,211,145,176,191,45,63,7
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Basisschool De Bolster,0296::SB12,6601 XR,1352,663,1,1,0,0,0,603,62,0,0,0,0,0,665,262,59,45,62,72,80,66,17
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Basisschool Samsam,0296::SB13,6601 RM,1727,806,1,2,0,1,0,737,71,0,1,0,0,0,808,366,101,57,74,91,46,55,16
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Basisschool 't Palet,0296::SB14,6605 HK,2003,774,1,6,0,0,0,708,73,0,0,0,0,0,781,349,64,52,54,86,76,79,14
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Kulturhus de Zandloper,0296::SB15,6617 BG,1407,847,1,1,0,0,0,749,100,0,0,0,0,0,849,399,227,35,79,64,10,29,4
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Dorpshuis de Mijlpaal,0296::SB16,6616 AM,840,564,2,1,0,0,0,516,51,0,0,0,0,0,567,356,54,23,50,48,6,27,0
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Dorpshuis 't Ballegooijke,0296::SB17,6613 AH,571,445,2,0,0,2,0,408,41,0,0,2,0,0,449,213,96,23,51,30,12,17,3
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Dorpshuis De Hostert,0296::SB18,6634 AC,500,297,1,1,0,0,0,256,43,0,0,0,0,0,299,181,30,14,19,34,11,7,1
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Basisschool De Boskriek,0296::SB19,6605 SG,1919,1095,5,2,1,0,0,1103,0,0,0,1,0,0,1103,478,124,83,145,131,39,78,17
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Basisschool De Trinoom,0296::SB20,6605 XH,1806,1148,10,3,0,0,0,1040,121,0,0,0,0,0,1161,366,128,142,228,137,31,93,23
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Wijkcentrum De Brink,0296::SB21,6603 JR,1704,876,4,0,0,0,0,777,103,0,0,0,0,0,880,308,144,99,129,73,45,65,13
,Wijchen,GR2018_Wijchen,Gemeenteraad Wijchen 2018,0296,Wijchen,2018-03-21,Stembureau Dorpshuis de Oase,0296::SB23,6603 CL,1542,727,2,6,0,1,0,630,104,0,1,0,0,0,734,297,122,33,65,45,38,121,6
