contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,CDA,GROENLINKS,VOCHoorn,Hoornse Onafhankelijke Partij (HOP),Hoornse Senioren Partij (HSP),Hoorns Belang,Fractie Tonnaer,Hoorn Lokaal,De Realistische Partij (DRP),Sociaal Hoorn,ChristenUnie
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Ouderenzorg Westerhaven,0405::SB1,,1720,946,4,6,0,0,0,876,81,0,0,1,0,0,957,114,110,138,52,136,67,55,46,39,82,44,23,26,14
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Schouwburg het Park,0405::SB2,,2206,781,1,0,0,0,0,717,65,0,0,0,0,0,782,81,69,113,59,104,63,59,28,38,47,33,25,52,10
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau De Boterhal,0405::SB4,,1486,1065,1,2,0,0,0,988,80,0,0,0,0,0,1068,113,132,139,47,167,94,46,30,33,80,77,38,53,16
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Showband Hoorn,0405::SB5,,1260,760,4,4,0,0,0,690,78,0,0,0,0,0,768,74,82,126,56,113,52,42,33,24,55,49,18,26,10
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Wijkcentrum Grote Waal 1,0405::SB6,,2360,1025,8,7,0,2,0,952,91,1,0,3,0,0,1043,123,65,76,67,125,85,83,76,39,112,39,34,83,18
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Wijkcentrum Grote Waal 2,0405::SB7,,2361,1115,8,8,0,0,0,1026,105,0,0,0,0,0,1131,120,73,84,63,130,105,82,84,54,112,55,42,75,36
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Verpleeghuis Lindendael,0405::SB8,,1759,1075,8,6,0,3,4,983,105,0,0,3,0,0,1092,131,100,112,103,157,88,70,54,34,80,44,25,56,21
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Wijkcentrum De Zaagtand,0405::SB9,,2328,1260,6,5,0,0,0,1147,124,0,0,0,0,0,1271,115,105,169,124,153,108,95,64,41,148,40,16,63,19
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Praethuys 't Slot,0405::SB10,,1726,943,2,3,0,0,0,868,80,0,0,0,0,0,948,78,72,124,59,145,65,78,40,31,82,58,43,43,25
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Stadhuis,0405::SB11,,1808,1458,5,5,0,0,0,1330,138,0,0,0,0,0,1468,115,113,199,104,144,75,89,67,53,321,45,34,61,38
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Wijkcentrum De Huesmolen 1,0405::SB12,,1735,1182,4,10,0,3,0,1093,106,0,0,3,0,0,1199,119,94,111,87,120,70,101,80,44,106,64,38,119,29
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Wijkcentrum De Huesmolen 2,0405::SB13,,1734,923,5,1,0,1,0,848,82,0,0,1,0,0,930,77,62,73,68,107,58,59,67,47,110,36,21,103,35
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Ouderenzorg Avondlicht,0405::SB14,,1715,954,5,3,0,0,0,896,66,0,0,0,0,0,962,106,56,89,115,124,64,62,62,28,85,40,18,75,30
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau West-Friese Hockeyclub Hoorn,0405::SB15,,3441,1264,4,6,0,0,0,1139,135,0,0,0,0,0,1274,99,99,134,103,156,90,92,64,55,94,47,74,102,55
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Wijkcentrum De Cogge 1,0405::SB17,,1752,1137,12,9,1,0,0,1050,109,0,0,1,0,0,1159,112,69,82,77,114,51,103,71,56,111,104,46,105,36
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Wijkcentrum De Cogge 2,0405::SB18,,1752,389,1,0,0,0,0,357,33,0,0,0,0,0,390,34,23,24,31,47,14,32,10,24,32,30,14,55,19
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Ouderenzorg De Perelaar,0405::SB19,,1728,1040,4,2,0,0,0,968,78,0,0,0,0,0,1046,101,67,122,274,68,46,46,69,45,74,38,23,37,30
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Basisschool Socrates 1,0405::SB20,,1984,1015,10,0,0,1,0,904,122,0,0,1,0,0,1026,52,51,224,176,55,38,34,10,37,246,21,18,35,18
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Basisschool Socrates 2,0405::SB21,,1983,951,6,6,0,1,0,842,122,0,1,0,0,0,964,47,64,233,150,57,39,37,9,50,185,18,23,19,20
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau S.V. Westfriezen,0405::SB22,,1765,847,12,4,0,0,0,798,65,0,0,0,0,0,863,64,49,106,265,70,67,48,35,30,53,18,9,24,9
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Sporthal Lingeweg (Adoshal),0405::SB24,,2076,691,8,2,0,0,0,654,47,0,0,0,0,0,701,53,32,58,35,106,41,65,35,66,64,34,28,41,33
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Het Gouden Hoofd,0405::SB25,,2607,1610,14,3,0,0,1,1468,158,0,0,0,0,0,1627,148,121,194,357,155,101,96,101,52,113,55,19,69,29
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Wijkcentrum Kersenboogerd,0405::SB26,,2085,932,7,6,0,0,0,888,57,0,0,0,0,0,945,94,62,68,68,112,39,103,80,48,85,27,30,56,60
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Basisschool De Klipper,0405::SB27,,1475,735,2,5,0,0,0,672,69,0,1,0,1,0,741,69,58,116,81,69,61,47,30,44,48,41,24,26,21
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Basisschool de Tandem,0405::SB28,,1541,711,2,1,0,0,0,654,60,0,0,0,0,0,714,60,57,109,50,73,56,50,33,43,71,32,25,33,19
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Basisschool Elif,0405::SB29,,1870,831,3,4,0,0,0,759,79,0,0,0,0,0,838,78,51,123,55,81,69,74,36,39,76,40,28,57,24
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Basisschool Dynamis,0405::SB30,,1556,960,0,7,0,0,1,874,92,0,0,0,0,0,967,84,68,142,106,70,83,79,46,47,76,52,18,51,38
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Basisschool Het Spectrum 1,0405::SB31,,1705,1028,4,5,0,2,0,923,116,0,0,2,0,0,1039,59,69,254,81,66,95,66,37,55,110,37,28,34,37
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Basisschool Het Spectrum 2,0405::SB32,,1705,798,3,4,0,0,0,708,97,0,0,0,0,0,805,59,68,179,70,66,61,67,21,30,91,23,15,24,24
,Hoorn,GR2018_Hoorn,Gemeenteraad Hoorn 2018,0405,Hoorn,2018-03-21,Stembureau Bibliotheek Kersenboogerd,0405::SB33,,1923,931,4,9,0,0,0,892,51,0,1,0,1,0,943,98,48,71,56,131,40,103,53,50,85,40,27,82,47
