contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SGP-ChristenUnie,PRO Sliedrecht,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Slydregt.NU,Democraten 66 (D66)
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Raadhuis,0610::SB1,3361 HE,1790,1215,4,2,0,0,0,1074,147,0,0,0,0,0,1221,407,277,159,129,106,80,57
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau De Reling,0610::SB2,3361 HJ,913,599,2,4,0,0,0,526,79,0,0,0,0,0,605,203,120,83,65,72,35,21
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau ASVZ (Merwebolder),0610::SB3,3363 WB,927,499,2,6,0,0,0,507,0,0,0,0,0,0,507,104,164,62,59,52,29,29
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau School De Sprong,0610::SB4,3363 HE,1199,689,4,4,0,0,0,611,86,0,0,0,0,0,697,197,160,80,72,84,58,38
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau School Anne de Vries,0610::SB5,3363 AH,1340,750,2,0,0,0,0,659,93,0,0,0,0,0,752,208,193,120,60,87,46,36
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Huize Overslydrecht,0610::SB6,3363 CK,1834,1138,5,2,0,0,0,1015,130,0,0,0,0,0,1145,448,222,191,109,77,57,34
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Voormalige BSO Pluk,0610::SB7,3363 CJ,556,411,2,0,0,1,0,354,58,0,1,0,0,0,412,157,93,59,30,32,27,13
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Verpleeghuis Waerthove,0610::SB8,3361 BM,492,186,0,1,0,0,0,162,25,0,0,0,0,0,187,31,36,39,24,24,24,8
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Prins Willem-Alexanderschool,0610::SB9,3362 GH,2094,1138,4,4,0,1,0,993,152,0,1,0,0,0,1145,208,365,192,117,113,85,58
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Trimclubgebouw ABC,0610::SB10,3362 BV,1254,722,6,0,0,4,0,658,74,0,0,4,0,0,732,197,190,104,101,54,51,25
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau De Stoeprand,0610::SB11,3361 CH,1610,929,3,0,0,4,0,808,120,0,4,0,0,0,928,255,229,146,93,70,87,49
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Zorgcentrum Parkzicht,0610::SB12,3362 BB,1474,886,1,4,0,0,0,818,73,0,0,0,0,0,891,347,173,126,90,50,65,35
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Tuinfluiterflat,0610::SB13,3362 NE,1208,781,1,1,0,0,0,726,57,0,0,0,0,0,783,280,183,89,96,45,50,38
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Prins Willem-Alexanderschool,0610::SB14,3362 SP,1423,818,3,1,0,0,0,737,85,0,0,0,0,0,822,245,189,154,83,90,22,35
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,Stembureau Hof van Sliedrecht,0610::SB15,3362 BB,517,336,3,2,0,0,0,336,6,1,0,1,0,0,342,74,79,70,30,47,17,19
,Sliedrecht,GR2018_Sliedrecht,Gemeenteraad Sliedrecht 2018,0610,Sliedrecht,2018-03-21,"Stembureau School Anne de Vries, loc. Baanhoek-West",0610::SB16,3363 KH,731,429,0,2,0,0,0,372,59,0,0,0,0,0,431,147,93,85,24,47,15,18
