contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Inwonersbelang Hellevoetsluis,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),GROENLINKS
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Hal Gemeentehuis,0530::SB1,3221 AL,1967,949,6,1,0,1,0,867,88,0,1,0,1,0,955,308,282,57,132,66,104
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau 't Schrijverke,0530::SB3,3221 VP,1601,1105,6,8,0,0,0,1007,112,0,0,0,0,0,1119,561,155,95,139,33,122
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Verpleegh. Grootenhoek,0530::SB4,3222 AA,1501,555,2,2,0,0,0,505,54,0,0,0,0,0,559,242,128,43,73,22,47
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Buurtkamer,0530::SB5,3222 XA,1645,719,5,5,0,0,0,667,62,0,0,0,0,0,729,346,109,58,93,19,94
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,"Stembureau School CBS de Bron, loc Christinaplaats",0530::SB6,3223 XE,1410,509,1,2,0,0,0,463,49,0,0,0,0,0,512,280,79,23,72,9,46
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Sporthal De Eendraght,0530::SB7,3223 EV,1558,1034,3,5,0,0,0,940,102,0,0,0,0,0,1042,432,209,76,161,54,102
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Schoollocatie,0530::SB8,3224 TT,1849,1077,12,1,0,3,0,991,102,0,0,3,0,0,1093,493,189,84,141,46,124
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Hart van Hellevoet,0530::SB10,3224 TD,1925,725,6,4,0,1,0,670,66,0,0,1,0,0,736,374,67,65,103,29,87
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Gymzaal de Branding,0530::SB12,3224 GA,2115,871,1,3,0,0,0,774,103,0,0,2,0,0,877,427,126,60,114,28,116
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau School De Houthoeffe,0530::SB13,3225 AC,1976,907,5,6,0,2,0,837,83,0,0,2,0,0,920,447,149,55,93,36,127
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Zuidwester,0530::SB15,3224 AM,1841,464,4,4,0,2,0,435,39,0,0,2,0,0,474,233,73,46,41,15,56
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,"Stembureau School de Houthoeffe, loc Forel",0530::SB16,3225 PA,1689,603,1,0,0,0,0,561,43,0,0,0,0,0,604,299,77,38,81,18,90
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Locatie Careyn,0530::SB17,3225 GT,1503,455,1,0,0,0,0,422,34,0,0,0,0,0,456,238,76,21,40,21,59
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau School de Kring,0530::SB18,3223 GE,1647,756,8,0,0,6,0,683,87,0,0,6,0,0,770,314,207,34,104,35,62
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau School de Kring II,0530::SB19,3223 GE,1450,742,2,3,0,4,0,655,88,0,4,0,0,0,743,304,208,50,107,26,47
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,"Stembureau School Het Palet, loc Bonsenhoek",0530::SB20,3223 HR,1635,1229,7,5,0,2,0,1149,94,0,0,2,0,0,1243,532,350,72,144,51,80
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Sportlocatie (I),0530::SB22,3223 MA,1425,564,0,0,0,0,0,510,54,0,0,0,0,0,564,169,259,15,57,35,29
,Hellevoetsluis,GR2018_Hellevoetsluis,Gemeenteraad Hellevoetsluis 2018,0530,Hellevoetsluis,2018-03-21,Stembureau Sportlocatie (II),0530::SB23,3223 MA,1291,861,2,8,0,0,0,777,94,0,0,0,0,0,871,306,315,37,115,40,48
