contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democratische Groepering Geldrop,CDA,DPM (Dorpspartij Mierlo),VVD,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.),SAMEN
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau SCC Hofdael,1771::SB1,5664 HV,1651,905,10,6,0,3,0,843,86,1,0,4,0,0,929,195,259,14,139,90,93,52,63
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Basisschool Dommeldal,1771::SB2,5662 HK,1372,652,4,0,0,0,0,562,94,0,0,0,0,0,656,148,155,8,125,49,84,44,39
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Nuts Basisschool Beneden Beekloop,1771::SB3,5662 HM,1597,847,8,2,0,0,0,750,109,2,0,2,0,0,859,180,110,14,133,107,171,70,62
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Basisschool St. Jozef,1771::SB4,5663 CE,1584,926,8,1,0,0,0,837,96,0,2,0,0,0,933,176,196,12,197,105,113,73,54
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Gemeenschapshuis Zesgehuchten,1771::SB5,5663 AC,1524,1057,10,0,0,0,0,968,99,0,0,0,0,0,1067,215,226,10,145,109,180,99,73
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Basisschool De Ganzebloem,1771::SB6,5663 SK,1380,889,10,2,0,0,0,823,78,0,0,0,0,0,901,181,196,6,164,107,106,61,68
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Basisschool De Ganzebloem,1771::SB7,5663 SK,1361,728,1,7,0,0,0,655,81,0,0,0,0,0,736,145,181,6,100,113,76,55,52
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Kastanjehof,1771::SB8,5664 RS,1786,919,7,2,0,0,0,845,74,0,9,0,0,0,919,257,259,16,105,64,83,51,84
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Wijkcentrum de Dreef,1771::SB9,5665 VA,1470,739,15,8,0,0,0,689,73,0,0,0,0,0,762,212,116,9,65,38,107,70,122
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Nuts Basisschool de Regenboog,1771::SB10,5665 VS,1517,605,5,2,0,0,0,571,41,0,0,0,0,0,612,163,114,16,68,36,97,42,69
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Maison St. Cyr,1771::SB11,5665 SK,1385,564,3,2,0,0,0,527,41,0,1,0,0,0,568,176,96,8,58,33,79,40,74
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Strabrecht College,1771::SB12,5666 BE,1408,620,8,0,0,0,0,567,61,0,0,0,0,0,628,155,103,26,119,65,61,42,49
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau DvO St. Jozefplein,1771::SB13,5666 RL,1558,579,8,3,0,0,0,550,40,0,0,0,0,0,590,229,85,11,55,37,44,57,61
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau DvO Kettingstraat,1771::SB14,5667 RG,1830,748,7,3,0,0,0,698,60,0,0,0,0,0,758,251,114,9,129,69,66,43,67
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Basisschool 't Vijfblad,1771::SB15,5667 AH,1560,607,3,1,0,0,0,562,49,0,0,0,0,0,611,215,119,18,53,47,73,40,42
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,"Stembureau OBS 't Schrijverke, locatie Luchen",1771::SB16,5731 SP,2050,905,4,0,0,0,0,814,95,0,0,0,0,0,909,13,180,349,159,61,68,32,43
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau d'n Intheek,1771::SB17,5731 JH,1525,881,6,4,0,0,0,804,87,0,0,0,0,0,891,9,162,399,75,31,71,59,75
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Jongerencentrum Loesje,1771::SB18,5731 GR,1623,943,11,8,0,0,0,864,97,0,1,0,0,0,961,20,182,409,105,48,84,43,52
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,"Stembureau Kindcentrum PuurSang, Locatie Lucia",1771::SB19,5731 LA,1626,846,3,3,0,0,0,750,104,0,0,2,0,0,854,6,183,380,112,34,85,16,30
,Geldrop-Mierlo,GR2018_GeldropMierlo,Gemeenteraad Geldrop-Mierlo 2018,1771,Geldrop-Mierlo,2018-03-21,Stembureau Hof van Bethanië,1771::SB20,5731 EG,1559,1099,1,1,0,0,0,1007,94,0,0,0,0,0,1101,14,249,422,132,50,128,51,53
