contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),CDA,Partij van de Arbeid (P.v.d.A.),Gemeentebelangen Zwartewaterland,VVD,Buitengewoon Zwartewaterland (BGZ)
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Gemeentehuis Hasselt,1896::SB1,8061 CB,1538,885,2,1,0,0,0,783,105,0,0,0,0,0,888,256,50,145,109,36,67,222
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau 't Teeuwland Hasselt,1896::SB2,8061 JR,1445,936,2,1,0,0,0,856,83,0,0,0,0,0,939,311,53,142,141,44,46,199
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau De Baak Hasselt,1896::SB3,8061 DA,1314,681,1,2,0,1,0,630,55,0,0,1,0,0,685,260,26,76,106,22,40,151
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Gemeentehuis Hasselt,1896::SB4,8061 CB,1166,1007,6,2,0,0,0,894,121,0,0,0,0,0,1015,291,48,136,145,49,95,243
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau 't Olde Staduus Genemuiden,1896::SB5,8281 EV,1415,956,3,1,0,0,0,867,93,0,0,0,0,0,960,216,346,102,71,56,38,127
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau De Schakel Genemuiden,1896::SB6,8281 AB,1908,782,1,7,0,0,0,687,103,0,0,0,0,0,790,183,345,76,49,42,26,61
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau De Driester Genemuiden,1896::SB7,8281 PG,583,427,2,2,0,0,0,385,46,0,0,0,0,0,431,117,128,136,13,7,5,21
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau De Meente Genemuiden,1896::SB8,8281 DG,1692,877,0,3,0,0,0,778,102,0,0,0,0,0,880,242,337,97,74,50,12,65
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Eben Haëzerschool Genemuiden,1896::SB9,8281 KN,1843,941,0,1,0,0,0,800,142,0,0,0,0,0,942,233,478,75,39,34,27,55
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Arembergschool Zwartsluis,1896::SB10,8064 CD,1334,834,0,6,0,0,0,757,83,0,0,0,0,0,840,117,13,187,123,83,179,132
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau De Schans Zwartsluis,1896::SB11,8064 DC,1062,775,3,3,0,0,0,711,70,0,0,0,0,0,781,104,9,211,94,100,156,101
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Hotel Zwartewater Zwartsluis,1896::SB12,8064 PC,1391,812,1,1,0,1,0,730,85,0,0,1,0,0,815,135,39,197,94,69,151,127
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Mobiel Bureau De Schakel,1896::SB13,8281 AB,0,444,0,1,0,0,0,380,65,0,0,0,0,0,445,135,156,56,33,18,10,36
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Mobiel Bureau De Meente,1896::SB14,8281 DG,0,524,1,0,0,1,1,459,66,0,0,1,0,0,526,130,212,63,32,28,9,50
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Mobiel Bureau Eben Haëzerschool,1896::SB15,8281 KN,0,519,3,0,0,0,0,449,68,0,5,0,5,0,517,135,231,46,17,24,18,48
,Zwartewaterland,GR2018_Zwartewaterland,Gemeenteraad Zwartewaterland 2018,1896,Zwartewaterland,2018-03-21,Stembureau Mobiel Bureau De Baak,1896::SB16,8061 DA,0,380,3,0,0,0,0,355,28,0,0,0,0,0,383,144,20,47,38,10,22,99
