contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,PRO5,Vrije Hapertse Partij (VHP),Bladel Transparant (BT),VVD,TrefZeker Hapert,Democraten 66 (D66),"Politieke Partij ""Bladels Belang"""
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau Zorgcentrum Kempenland,1728::SB1,5531 AJ,1720,702,9,4,0,0,0,626,89,0,0,0,0,0,715,205,109,16,253,56,10,32,21
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau Gemeentehuis,1728::SB2,5531 BC,1836,1288,11,8,0,0,0,1182,125,0,0,0,0,0,1307,212,268,50,543,113,7,72,23
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau Den Herd,1728::SB3,5531 HM,1635,874,1,2,0,0,0,799,77,0,1,0,1,0,876,143,226,17,335,75,10,48,20
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau Basisschool de Toermalijn,1728::SB4,5531 SR,1679,887,2,1,0,0,0,813,77,0,0,0,0,0,890,139,217,15,318,104,7,66,21
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau Pius X College,1728::SB5,5531 GK,1566,718,10,2,0,0,0,647,83,0,0,0,0,0,730,94,160,27,319,61,2,45,10
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau De Poel,1728::SB6,5534 AD,736,424,2,0,0,0,0,384,42,0,0,0,0,0,426,85,211,10,65,32,2,14,5
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau Den Tref,1728::SB7,5527 EH,2166,1399,1,3,0,0,0,1267,136,0,0,0,0,0,1403,119,104,934,80,48,31,67,16
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau Cafe 't Pleintje,1728::SB8,5527 EE,2210,1147,2,3,0,0,0,1024,128,0,0,0,0,0,1152,132,88,749,57,46,28,40,7
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau D'n Anloop,1728::SB10,5528 AW,1751,1026,7,0,0,0,0,937,96,0,0,0,0,0,1033,693,118,34,69,49,4,52,7
,Bladel,GR2018_Bladel,Gemeenteraad Bladel 2018,1728,Bladel,2018-03-21,Stembureau D'n Aord,1728::SB11,5529 AK,838,511,3,2,0,0,0,459,57,0,0,0,0,0,516,277,115,24,47,24,3,19,2
