contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,Democraten 66 (D66),Gemeentebel Smilde-Beilen-Westerbork,Gemeentebelangen,ChristenUnie,GROENLINKS
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Gemeentehuis Beilen,1731::SB1,9411 NB,1326,982,4,4,0,0,0,901,89,0,0,0,0,0,990,140,120,184,157,79,148,77,77
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Wooncentrum 't Stroomdal,1731::SB2,9411 KD,1347,798,3,0,0,0,0,734,67,0,0,0,0,0,801,142,126,123,94,74,100,69,70
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Buurtgebouw De Raat,1731::SB3,9411 GV,1484,958,7,4,0,0,0,901,68,0,0,0,0,0,969,204,105,117,105,116,173,78,60
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Woonzorgcentrum De Wester Es,1731::SB4,9411 AG,1740,700,5,3,0,0,0,664,44,0,0,0,0,0,708,127,151,99,88,50,110,47,28
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Zalencentrum De Valkenhof,1731::SB5,9411 LG,1869,1062,6,1,0,0,0,994,75,0,0,0,0,0,1069,139,179,171,141,95,173,113,51
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Dorpshuis De Dorpshoeve,1731::SB6,9415 PJ,839,502,5,0,0,0,0,454,53,0,0,0,0,0,507,64,76,118,57,42,71,42,32
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Dorpshuis 't Haolerhoes,1731::SB7,9414 AV,1144,724,6,2,0,0,0,677,55,0,0,0,0,0,732,133,63,172,56,42,82,129,47
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Dorpshuis De Weidehoek,1731::SB8,9418 PB,1534,881,4,1,0,0,0,800,86,0,0,0,0,0,886,176,96,155,50,60,248,41,55
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau 't aole gemientehoes,1731::SB9,9431 AD,1352,1008,5,1,0,0,0,914,100,0,0,0,0,0,1014,170,142,236,109,81,112,46,112
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Buurthuis Annie Londo,1731::SB10,9431 CW,1024,618,3,0,0,0,0,562,59,0,0,0,0,0,621,178,83,105,52,28,90,26,56
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau MFA Groene Borg,1731::SB11,9431 MK,1336,912,2,3,0,0,0,837,80,0,0,0,0,0,917,203,115,155,144,59,95,42,99
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Woonzorgcen. 't Derkshoes,1731::SB12,9431 LE,1044,664,0,0,0,0,0,612,52,0,0,0,0,0,664,164,142,143,51,28,67,32,37
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Dorpshuis De Heugte,1731::SB13,7938 PK,811,432,1,2,0,0,0,383,52,0,0,0,0,0,435,92,56,63,27,26,76,54,38
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Dorpshuis De Tille,1731::SB14,9439 PE,1049,587,4,2,0,0,0,528,65,0,0,0,0,0,593,71,97,105,50,39,109,27,89
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Dienstencen.'t Beurtschip,1731::SB15,9422 HT,1470,771,8,1,0,0,0,726,54,0,0,0,0,0,780,81,161,51,28,275,40,89,46
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Zalencentrum Het Kompas,1731::SB16,9422 AA,1911,1153,7,2,0,0,0,1048,114,0,0,0,0,0,1162,113,253,123,59,325,45,153,82
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau MFA De Spil,1731::SB17,9421 NN,1622,838,5,3,0,0,0,776,70,0,0,0,0,0,846,136,144,65,54,226,65,74,74
,Midden-Drenthe,GR2018_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2018,1731,Midden-Drenthe,2018-03-21,Stembureau Appartementencomplex De Meestershof,1731::SB18,9421 PJ,1320,669,4,3,0,0,0,637,39,0,0,0,0,0,676,69,173,65,48,159,38,52,65
